Comuna,NO,Poblacion,Tasa
Arica ,6 ,247552 ,"2,4 "
Camarones ,- ,1233 ,O 
Genera Lagos ,- ,810 ,O 
Putre ,- ,2515 ,O 
Total ,6 ,252110 ,"2,4 "
