LosAndes&,68093,323,474.4,4,5.9,98,143.9,94,138.0,OOO2,20302,9,1956,77,75
Nogales ,23490 ,28 ,119.2 ,O ,0.0 ,5 ,21.3 ,5 ,21.3 ,0 O 0 O ,0 O 0 O ,O 2 ,4 6 ,6 ,6 
Olmue ,19266 ,28 ,145.3 ,2 ,10.4 ,5 ,26.0 ,5 ,26.0 ,0 0 0 0 ,0 1 1 0 ,0 0 ,3 5 ,11 ,3 
Panquehue ,7633 ,20 ,262.0 ,O ,0.0 ,5 ,65.5 ,5 ,65.5 ,O O O O ,O O O O ,O O ,3 5 ,5 ,3 
Papudo ,6201 ,17 ,274.1 ,0 ,0.0 ,3 ,48.4 ,3 ,48.4 ,0 O 0 O ,0 O O 0 ,O 0 ,O 6 ,2 ,8 
Petorca ,10558 ,23 ,217.8 ,O ,0.0 ,7 ,66.3 ,7 ,66.3 ,O 0 0 1 ,4 1 0 0 ,O 0 ,1 4 ,4 ,6 
Puchuncavi& ,20071 ,35 ,174.4 ,1 ,5.0 ,14 ,69.8 ,14 ,69.8 ,0 0 0 O ,0 O 0 0 ,0 O ,4 7 ,5 ,8 
Putaendo ,17645 ,63 ,357.0 ,0 ,0.0 ,27 ,153.0 ,27 ,153.0 ,O O 0 1 ,0 O 1 3 2 ,2 ,6 7 ,6 ,13 
Quillota& ,97572 ,214 ,219.3 ,6 ,6.1 ,85 ,87.1 ,84 ,86.1 ,O 1 O 4 ,7 3 7 1 5 ,3 ,17 17 ,36 ,48 
Quilpue& ,167085 ,368 ,220.2 ,4 ,2.4 ,60 ,35.9 ,60 ,35.9 ,O 1 3 3 ,9 6 4 5 ,12 18 ,45 73 ,74 ,67 
Quintero8 ,36135 ,148 ,409.6 ,4 ,11.1 ,29 ,80.3 ,27 ,74.7 ,1 O 0 3 ,1 1 O 6 2 ,3 ,22 24 ,27 ,36 
Rinconada& ,11263 ,67 ,594.9 ,0 ,0.0 ,19 ,168.7 ,19 ,168.7 ,O O 0 0 ,0 3 0 O ,0 O ,2 13 ,17 ,15 
San Antonio& ,96761 ,616 ,636.6 ,16 ,16.5 ,125 ,129.2 ,125 ,129.2 ,0 0 0 0 ,5 14 11 22 ,38 66 ,60 96 ,92 ,121 
San Esteban& ,20643 ,53 ,256.7 ,O ,0.0 ,20 ,96.9 ,20 ,96.9 ,O 0 0 0 ,0 O 0 1 ,2 2 ,7 3 ,10 ,12 
San Felipe& ,83494 ,356 ,426.4 ,6 ,7.2 ,133 ,159.3 ,132 ,158.1 ,0 0 0 3 ,2 2 0 0 2 ,6 ,16 57 ,65 ,94 
Santa Maria& ,16367 ,59 ,360.5 ,0 ,0.0 ,21 ,128.3 ,21 ,128.3 ,0 0 0 0 ,2 0 0 0 4 ,14 ,2 5 ,8 ,11 
Santo Domingo ,11934 ,78 ,653.6 ,O ,0.0 ,24 ,201.1 ,24 ,201.1 ,0 0 2 2 ,0 6 4 4 4 ,5 ,4 10 ,6 ,8 
Valparaiso& ,315732 ,1114 ,352.8 ,20 ,6.3 ,296 ,93.8 ,296 ,93.8 ,O 1 2 9 ,17 13 18 14 ,26 81 ,111 136 ,209 ,254 
Villa Alemana& ,139310 ,326 ,234.0 ,3 ,2.2 ,72 ,51.7 ,70 ,50.2 ,0 0 1 7 ,3 3 0 1 5 ,29 ,39 49 ,55 ,87 
Vina del Mar& ,361371 ,1168 ,323.2 ,23 ,6.4 ,254 ,70.3 ,252 ,69.7 ,O 1 6 21 ,27 21 11 19 23 ,76 ,131 189 ,214 ,227 
Zapallar ,7994 ,3 ,37.5 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O O 0 O ,0 O ,O 3 ,O ,O 
,,,,,,,,,,,,,,,
