Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Algarrobo ,15174 ,114 ,751.3 ,7 ,46.1 ,2 ,13.2 ,2 ,13.2 
Cabildo ,20663 ,342 ,1655.1 ,18 ,87.1 ,15 ,72.6 ,15 ,72.6 
Calera ,& 53591 ,1006 ,1877.2 ,28 ,52.2 ,153 ,285.5 ,149 ,278.0 
Calle Larga ,16482 ,292 ,1771.6 ,2 ,12.1 ,34 ,206.3 ,34 ,206.3 
Cartagena ,25357 ,207 ,816.3 ,4 ,15.8 ,10 ,39.4 ,9 ,35.5 
Casablanca ,& 29170 ,398 ,1364.4 ,4 ,13.7 ,81 ,277.7 ,81 ,277.7 
Catemu ,15213 ,181 ,1189.8 ,4 ,26.3 ,27 ,177.5 ,27 ,177.5 
Con Con ,& 45889 ,575 ,1253.0 ,10 ,21.8 ,36 ,78.5 ,36 ,78.5 
EI Quisco ,17742 ,193 ,1087.8 ,3 ,16.9 ,16 ,90.2 ,16 ,90.2 
EI Tabo ,& 14338 ,257 ,1792.4 ,12 ,83.7 ,9 ,62.8 ,9 ,62.8 
Hijuelas ,& 19099 ,265 ,1387.5 ,5 ,26.2 ,32 ,167.5 ,32 ,167.5 
Isla de Pascua ,8277 ,5 ,60.4 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Juan Fernandez ,1033 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
La Cruz ,& 25321 ,265 ,1046.6 ,3 ,11.8 ,21 ,82.9 ,21 ,82.9 
La Ligua ,& 37739 ,568 ,1505.1 ,15 ,39.7 ,77 ,204.0 ,76 ,201.4 
Limache ,& 49931 ,946 ,1894.6 ,23 ,46.1 ,92 ,184.3 ,91 ,182.3 
Llaillay ,& 26533 ,388 ,1462.3 ,8 ,30.2 ,24 ,90.5 ,23 ,86.7 
Los Andes ,& 68093 ,1074 ,1577.3 ,46 ,67.6 ,34 ,49.9 ,34 ,49.9 
Nogales ,23490 ,285 ,1213.3 ,4 ,17.0 ,54 ,229.9 ,53 ,225.6 
Olmue ,19266 ,227 ,1178.2 ,5 ,26.0 ,43 ,223.2 ,43 ,223.2 
