Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Corral ,5447 ,26 ,477.3 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
Futrono ,15261 ,61 ,399.7 ,O ,0.0 ,O ,0.0 ,O ,0.0 
La Union ,39538 ,107 ,270.6 ,3 ,7.6 ,7 ,17.7 ,7 ,17.7 
Lago Ranco ,10292 ,7 ,68.0 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Lanco & ,17652 ,32 ,181.3 ,O ,0.0 ,2 ,11.3 ,2 ,11.3 
LOs Lagos ,20518 ,63 ,307.0 ,1 ,4.9 ,O ,0.0 ,O ,0.0 
Mafil ,7389 ,29 ,392.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Mariquina ,23250 ,38 ,163.4 ,O ,0.0 ,1 ,4.3 ,1 ,4.3 
Paillaco ,20798 ,38 ,182.7 ,1 ,4.8 ,O ,0.0 ,O ,0.0 
Panguipulli ,35991 ,69 ,191.7 ,1 ,2.8 ,2 ,5.6 ,2 ,5.6 
Rio Bueno ,32925 ,51 ,154.9 ,0 ,0.0 ,16 ,48.6 ,16 ,48.6 
Valdivia & ,176774 ,488 ,276.1 ,7 ,4.0 ,48 ,27.2 ,48 ,27.2 
Desconocido & ,- ,7 ,- ,0 ,- ,1 ,- ,1 ,- 
Total ,405835 ,1016 ,250.3 ,13 ,3.2 ,77 ,19.0 ,77 ,19.0 
