Romeral,16170,13,80.4,0,,,,,
Sagrada Familia ,19469 ,2 ,10.3 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 1 
San Clemente ,46292 ,19 ,41.0 ,9 ,,,,,
San Javier ,49451 ,27 ,54.6 ,3 ,,,,,
San Rafael ,9959 ,4 ,40.2 ,1 ,10.0 ,1 ,10.0 ,0 0 0 ,0 1 0 
Talca ,236724 ,166 ,70.1 ,5 ,2.1 ,5 ,2.1 ,0 3 9 ,13 19 11 
Teno ,30850 ,7 ,22.7 ,2 ,6.5 ,2 ,6.5 ,0 0 0 ,0 0 0 
Vichuquen ,4381 ,0 ,0.0 ,0 ,,,,,
Villa Alegre ,17512 ,2 ,11.4 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 0 
Yerbas Buenas ,19200 ,3 ,15.6 ,1 ,5.2 ,1 ,5.2 ,0 0 0 ,0 0 0 
Total ,1131939 ,468 ,41.3 ,55 ,,,,,
