SagradaFamilia,&,19469,86,441.7,1,5.1,10,,51.4,10,51.4
San Clemente ,& ,46292 ,487 ,1052.0 ,4 ,8.6 ,59 ,,127.5 ,59 ,127.5 
San Javier ,& ,49451 ,395 ,798.8 ,9 ,18.2 ,73 ,,147.6 ,73 ,147.6 
San Rafael ,,9959 ,125 ,1255.1 ,O ,0.0 ,7 ,,70.3 ,7 ,70.3 
Talca ,& ,236724 ,1810 ,764.6 ,24 ,10.1 ,158 ,,66.7 ,158 ,66.7 
Teno ,& ,30850 ,227 ,735.8 ,4 ,13.0 ,49 ,,158.8 ,49 ,158.8 
Vichuquen ,,4381 ,6 ,137.0 ,O ,0.0 ,5 ,,114.1 ,5 ,114.1 
Villa Alegre ,& ,17512 ,129 ,736.6 ,2 ,11.4 ,31 ,,177.0 ,31 ,177.0 
Yerbas Buenas ,& ,19200 ,120 ,625.0 ,5 ,26.0 ,17 ,,88.5 ,17 ,88.5 
Desconocido ,& ,- ,36 ,- ,O ,- ,3 ,,- ,3 ,- 
Total ,,1131939 ,9030 ,797.7 ,133 ,11.7 ,1063 ,,93.9 ,1062 ,93.8 
