,YerbasBuenas,4,2,6
,Bulnes ,8 ,1 ,9 
,Chillan ,26 ,16 ,42 
,Chillan Viejo ,2 ,,2 
,Cobquecura ,,1 ,1 
,Coelemu ,3 ,10 ,13 
,Coihueco ,4 ,1 ,5 
,EI Carmen ,3 ,2 ,5 
,Ninhue ,1 ,,1 
,Niquen ,3 ,1 ,4 
Nuble ,Pemuco ,3 ,,3 
,Portezuelo ,1 ,,1 
,Quillon ,3 ,3 ,6 
,Quirihue ,1 ,4 ,5 
,Ranquil ,,1 ,1 
,San Carlos ,7 ,4 ,11 
,San Ignacio ,6 ,1 ,7 
,San Nicolas ,2 ,1 ,3 
,Treguaco ,1 ,1 ,2 
,Yungay ,1 ,2 ,3 
,Alto Biobio ,1 ,,1 
,Arauco ,3 ,6 ,9 
,Cabrero ,2 ,3 ,5 
,Canete ,1 ,5 ,6 
,Chiguayante ,12 ,7 ,19 
,Concepcion ,32 ,16 ,48 
,Contulmo ,,3 ,3 
,Coronel ,11 ,26 ,37 
,Curanilahue ,3 ,7 ,10 
,Florida ,2 ,1 ,3 
,Hualpen ,13 ,7 ,20 
,Hualqui ,6 ,1 ,7 
,Laja ,,4 ,4 
,Lebu ,,3 ,3 
,Los Alamos ,,1 ,1 
Biobio ,LOs Angeles ,14 ,14 ,28 
,Lota ,4 ,3 ,7 
,Mulchen ,,2 ,2 
,Nacimiento ,3 ,4 ,7 
,Negrete ,1 ,2 ,3 
,Penco ,7 ,5 ,12 
,Quilaco ,,1 ,1 
,Quilleco ,2 ,1 ,3 
,San Pedro de la Paz ,19 ,7 ,26 
,San Rosendo ,1 ,,1 
,Santa Barbara ,4 ,2 ,6 
,Santa Juana ,3 ,3 ,6 
,Talcahuano ,21 ,12 ,33 
,Tome ,3 ,10 ,13 
,Tucapel ,1 ,1 ,2 
,Yumbe ,1 ,2 ,3 
,Angol ,13 ,8 ,21 
,Carahue ,1 ,10 ,11 
,Cholcho ,,2 ,2 
,Collipulli ,3 ,1 ,4 
,Cunco ,2 ,6 ,8 
,Curacautin ,2 ,2 ,4 
,Ercilla ,2 ,1 ,3 
Araucania ,Freire ,1 ,,1 
,Galvarino ,1 ,5 ,6 
,Gorbea ,1 ,3 ,4 
,Lautaro ,4 ,4 ,8 
,Loncoche ,1 ,4 ,5 
,Lonquimay ,2 ,,2 
