Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Corral ,5447 ,26 ,477.3 ,O ,0.0 ,0 ,0.0 
Futrono ,15261 ,62 ,406.3 ,1 ,6.6 ,1 ,6.6 
La Union ,39538 ,105 ,265.6 ,O ,0.0 ,0 ,0.0 
Lago Ranco ,10292 ,8 ,77.7 ,0 ,0.0 ,0 ,0.0 
Lanco ,17652 ,42 ,237.9 ,10 ,56.7 ,10 ,56.7 
Los Lagos ,20518 ,64 ,311.9 ,1 ,4.9 ,1 ,4.9 
Mafil ,7389 ,34 ,460.1 ,2 ,27.1 ,2 ,27.1 
Mariquina ,23250 ,44 ,189.2 ,6 ,25.8 ,6 ,25.8 
Paillaco ,20798 ,39 ,187.5 ,1 ,4.8 ,1 ,4.8 
Panguipulli ,35991 ,68 ,188.9 ,0 ,0.0 ,O ,0.0 
Rio Bueno ,32925 ,68 ,206.5 ,11 ,33.4 ,11 ,33.4 
Valdivia ,& 176774 ,544 ,307.7 ,39 ,22.1 ,39 ,22.1 
Desconocido ,& - ,7 ,- ,O ,- ,O ,- 
Total ,405835 ,1111 ,273.8 ,71 ,17.5 ,71 ,17.5 
