Quinchao,OOOO,1,O,OOOOOO,O,O,O,1,O,O,O,O,2,O,0
Negro ,O O O O ,2 ,3 ,O 5 7 5 4 5 ,4 ,4 ,O ,2 ,1 ,2 ,3 ,3 ,1 ,O ,O 
Juan de la Costa ,O O 0 O ,1 ,10 ,2 6 7 2 5 2 ,O ,0 ,3 ,4 ,O ,O ,O ,1 ,O ,O ,O 
Pablo ,O O O O ,2 ,4 ,O 3 0 O 0 2 ,1 ,O ,O ,O ,O ,O ,2 ,1 ,O ,O ,O 
Desconocido ,& O O 9 10 ,3 ,1 ,O 1 3 O 1 1 ,2 ,3 ,1 ,1 ,3 ,3 ,4 ,12 ,7 ,8 ,O 
,0 1 16 91 ,145 ,118 ,60 45 41 61 69 82 ,134 ,147 ,156 ,191 ,243 ,310 ,406 ,460 ,404 ,89 ,0 
