Semanaepidemiologica,Activos,Recuperados,Tasaactivos
8 ,1 ,0 ,0.0 
9 ,24 ,0 ,0.1 
10 ,120 ,1 ,0.6 
11 ,592 ,24 ,3.0 
12 ,2337 ,121 ,12.0 
13 ,4061 ,616 ,20.9 
14 ,4633 ,2458 ,23.8 
15 ,4950 ,4677 ,25.4 
16 ,5907 ,7091 ,30.4 
17 ,8722 ,9627 ,44.8 
18 ,17511 ,12998 ,90.0 
19 ,34463 ,18349 ,177.1 
20 ,50869 ,30509 ,261.4 
21 ,58479 ,52812 ,300.5 
22 ,57921 ,81378 ,297.7 
23 ,45380 ,111291 ,233.2 
