LoPrado,&,104403,5043,4830.3,128,122.6,128,122.6
Macul ,& ,134635 ,5075 ,3769.5 ,100 ,74.3 ,99 ,73.5 
Maipu ,& ,578605 ,15017 ,2595.4 ,301 ,52.0 ,300 ,51.8 
Maria Pinto ,,14926 ,393 ,2633.0 ,18 ,120.6 ,18 ,120.6 
Melipilla ,& ,141612 ,3978 ,2809.1 ,111 ,78.4 ,110 ,77.7 
Nunoa ,& ,250192 ,5627 ,2249.1 ,123 ,49.2 ,120 ,48.0 
Padre Hurtado ,& ,74188 ,2208 ,2976.2 ,42 ,56.6 ,42 ,56.6 
Paine ,,82766 ,1964 ,2373.0 ,46 ,55.6 ,46 ,55.6 
Pedro Aguirre Cerda ,& ,107803 ,4437 ,4115.8 ,62 ,57.5 ,62 ,57.5 
Penaflor ,& ,101058 ,2974 ,2942.9 ,81 ,80.2 ,81 ,80.2 
Penalolen ,& ,266798 ,11952 ,4479.8 ,167 ,62.6 ,167 ,62.6 
Pirque ,,30433 ,1135 ,3729.5 ,22 ,72.3 ,22 ,72.3 
Providencia ,& ,157749 ,3315 ,2101.4 ,73 ,46.3 ,72 ,45.6 
Pudahuel ,& ,253139 ,10015 ,3956.3 ,180 ,71.1 ,180 ,71.1 
Puente Alto ,& ,645909 ,23799 ,3684.6 ,629 ,97.4 ,628 ,97.2 
Quilicura ,& ,254694 ,9285 ,3645.6 ,150 ,58.9 ,149 ,58.5 
Quinta Normal ,& ,136368 ,6233 ,4570.7 ,144 ,105.6 ,144 ,105.6 
Recoleta ,& ,190075 ,8620 ,4535.1 ,123 ,64.7 ,123 ,64.7 
Renca ,& ,160847 ,8951 ,5564.9 ,249 ,154.8 ,248 ,154.2 
San Bernardo ,& ,334836 ,11411 ,3407.9 ,211 ,63.0 ,211 ,63.0 
San Joaquin ,& ,103485 ,5099 ,4927.3 ,84 ,81.2 ,84 ,81.2 
San Jose de Maipo ,& ,18644 ,687 ,3684.8 ,7 ,37.5 ,7 ,37.5 
San Miguel ,& ,133059 ,5323 ,4000.5 ,107 ,80.4 ,105 ,78.9 
San Pedro ,& ,11953 ,246 ,2058.1 ,14 ,117.1 ,14 ,117.1 
San Ramon ,& ,86510 ,4573 ,5286.1 ,63 ,72.8 ,63 ,72.8 
Santiago ,& ,503147 ,15125 ,3006.1 ,181 ,36.0 ,180 ,35.8 
Talagante ,& ,81838 ,1775 ,2168.9 ,59 ,72.1 ,58 ,70.9 
Tiltil ,,21477 ,596 ,2775.1 ,23 ,107.1 ,23 ,107.1 
Vitacura ,& ,96774 ,1578 ,1630.6 ,34 ,35.1 ,34 ,35.1 
Desconocido ,& ,- ,15850 ,- ,132 ,- ,132 ,- 
Total ,,8125072 ,297998 ,3667.6 ,5641 ,69.4 ,5619 ,69.2 
