Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto del Carmen ,5729 ,11 ,192.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Caldera ,& 19426 ,88 ,453.0 ,O ,0.0 ,19 ,97.8 ,19 ,97.8 
Chanaral ,13164 ,53 ,402.6 ,O ,0.0 ,9 ,68.4 ,9 ,68.4 
Copiapo ,& 171766 ,2082 ,1212.1 ,11 ,6.4 ,674 ,392.4 ,673 ,391.8 
Diego de Almagro ,& 14358 ,54 ,376.1 ,2 ,13.9 ,2 ,13.9 ,2 ,13.9 
Freirina ,7681 ,56 ,729.1 ,O ,0.0 ,8 ,104.2 ,8 ,104.2 
Huasco ,11264 ,34 ,301.8 ,O ,0.0 ,7 ,62.1 ,7 ,62.1 
Tierra Amarilla ,14312 ,191 ,1334.5 ,O ,0.0 ,62 ,433.2 ,62 ,433.2 
Vallenar ,& 57009 ,484 ,849.0 ,O ,0.0 ,47 ,82.4 ,47 ,82.4 
Desconocido ,& - ,18 ,- ,O ,- ,2 ,- ,2 ,- 
Total ,314709 ,3071 ,975.8 ,13 ,4.1 ,830 ,263.7 ,829 ,263.4 
