Quilpue,&013,59,6,45,12,1946,78,79,110,158,157,224,180,201,145,115,91,88,141,100460
Quintero ,O O O ,2 1 ,1 ,0 6 ,2 ,4 24 ,23 ,29 ,45 ,53 ,40 ,45 ,41 ,24 ,36 ,36 ,23 ,11 ,9 ,9 2 O 
Rinconada ,& O O O ,O O ,3 ,O O ,O ,O 2 ,15 ,18 ,15 ,19 ,20 ,20 ,15 ,14 ,13 ,11 ,8 ,0 ,O ,1 O O 
San Antonio ,0 O O ,O 6 ,15 ,11 22 ,37 ,71 61 ,101 ,94 ,138 ,145 ,120 ,92 ,92 ,82 ,61 ,75 ,57 ,54 ,45 ,85 32 O 
San Esteban ,& 0 O O ,O O ,O ,O 1 ,2 ,2 7 ,4 ,11 ,16 ,28 ,18 ,18 ,28 ,26 ,27 ,17 ,11 ,11 ,11 ,8 3 O 
San Felipe ,& 0 O O ,3 3 ,2 ,O 1 ,2 ,6 18 ,60 ,70 ,117 ,182 ,175 ,108 ,135 ,85 ,60 ,40 ,21 ,75 ,97 ,47 19 O 
Santa Maria ,O O O ,O 1 ,1 ,0 O ,4 ,15 3 ,5 ,8 ,13 ,18 ,30 ,32 ,23 ,28 ,18 ,17 ,10 ,23 ,8 ,9 6 O 
Santo Domingo ,O O 2 ,1 1 ,5 ,4 4 ,4 ,5 4 ,11 ,7 ,9 ,33 ,21 ,10 ,10 ,7 ,5 ,2 ,1 ,3 ,0 ,6 4 O 
Valparaiso ,& 0 1 2 ,11 15 ,13 ,21 17 ,26 ,84 119 ,151 ,235 ,315 ,495 ,547 ,505 ,377 ,323 ,340 ,322 ,305 ,325 ,301 ,301 156 O 
Villa Alemana ,& 0 O 1 ,7 4 ,3 ,O 1 ,5 ,32 41 ,51 ,74 ,125 ,190 ,185 ,212 ,139 ,172 ,129 ,99 ,98 ,105 ,117 ,112 53 O 
Vina del Mar ,& 1 O 5 ,23 28 ,23 ,13 21 ,25 ,80 142 ,202 ,236 ,307 ,408 ,396 ,454 ,424 ,371 ,281 ,276 ,227 ,262 ,336 ,324 142 O 
Zapallar ,O O O ,O O ,1 ,O O ,O ,O O ,1 ,O ,1 ,2 ,3 ,19 ,13 ,12 ,11 ,10 ,4 ,6 ,10 ,5 3 O 
Desconocido ,& 0 O O ,2 3 ,3 ,1 1 ,O ,O 11 ,8 ,6 ,37 ,27 ,37 ,57 ,46 ,51 ,25 ,24 ,11 ,10 ,11 ,10 19 O 
Total ,1 4 14 ,83 109 ,107 ,92 108 ,159 ,387 644 ,1026 ,1270 ,1779 ,2657 ,2645 ,2728 ,2509 ,2347 ,1949 ,1762 ,1564 ,1616 ,1843 ,1647 770 0 
