Region,Totaldefunciones,Tasaobservada,Tasaajustada
Pais ,14938 ,768 ,481 
XV Arica y Parinacota ,144 ,571 ,385 
ITarapaca ,235 ,61.4 ,53.3 
II Antofagasta ,560 ,80.9 ,742 
III Atacama ,85 ,27.0 ,18.6 
IV Coquimbo ,186 ,22.2 ,130 
V Valparaiso ,1068 ,54.5 ,289 
Region Metropolitana ,10856 ,1336 ,91.0 
VI O'Higgins ,496 ,500 ,29.1 
VII Maule ,403 ,35.6 ,201 
XVI De Nuble ,121 ,23.7 ,11.5 
VIII Del Biobio ,329 ,19.8 ,12.0 
IX Araucania ,212 ,20.9 ,111 
XIV Los Rios ,36 ,89 ,46 
X Los Lagos ,131 ,147 ,89 
XI Aysen ,5 ,4.7 ,3.5 
XII Magallanes y la Anta ,69 ,38.7 ,23.1 
Ignorada ,2 ,0.0 ,0.0 
