Quilpue,&0134,9,6,46,12,1946,78,79,110,157,156,224,180,200,144,113,90,86,131,57O
Quintero ,& O O O 2 ,1 ,1 ,0 6 ,2 ,4 24 ,23 ,29 ,44 ,52 ,40 ,45 ,40 ,24 ,36 ,36 ,23 ,11 ,9 ,6 O 
Rinconada ,0 O O O ,O ,3 ,O O ,O ,O 2 ,15 ,18 ,15 ,19 ,20 ,20 ,15 ,14 ,13 ,11 ,8 ,0 ,0 ,O 0 
San Antonio ,& O O O O ,6 ,14 11 ,22 ,37 ,71 61 ,101 ,94 ,137 ,145 ,120 ,92 ,92 ,82 ,61 ,75 ,57 ,54 ,44 ,58 O 
San Esteban ,O 0 O O ,O ,O ,O 1 ,2 ,2 7 ,4 ,11 ,16 ,28 ,18 ,18 ,28 ,26 ,27 ,17 ,11 ,11 ,7 ,8 O 
San Felipe ,& 0 O O 3 ,3 ,2 ,O 1 ,2 ,6 19 ,60 ,70 ,117 ,182 ,175 ,108 ,135 ,85 ,60 ,40 ,21 ,75 ,99 ,31 O 
Santa Maria ,& O O O O ,1 ,1 ,O O ,4 ,15 3 ,5 ,8 ,13 ,18 ,30 ,32 ,23 ,28 ,18 ,17 ,10 ,23 ,7 ,6 O 
Santo Domingo ,& O 0 2 1 ,1 ,5 ,4 4 ,4 ,5 4 ,11 ,7 ,9 ,32 ,21 ,10 ,10 ,7 ,5 ,2 ,1 ,3 ,0 ,2 O 
Valparaiso ,& 0 1 2 11 ,14 ,13 21 ,17 ,26 ,84 118 ,152 ,235 ,314 ,494 ,544 ,503 ,377 ,320 ,339 ,322 ,304 ,318 ,292 ,146 O 
Villa Alemana ,& O O 1 7 ,4 ,3 ,O 1 ,5 ,32 41 ,51 ,74 ,124 ,190 ,185 ,211 ,139 ,172 ,128 ,97 ,97 ,102 ,105 ,65 O 
Vina del Mar ,& 1 O 5 23 ,28 ,23 ,13 21 ,25 ,80 142 ,200 ,236 ,305 ,406 ,394 ,452 ,423 ,370 ,279 ,273 ,226 ,258 ,320 ,155 O 
Zapallar ,O O O O ,O ,1 ,0 O ,O ,O O ,1 ,O ,1 ,2 ,3 ,19 ,13 ,12 ,11 ,10 ,4 ,6 ,10 ,3 O 
Desconocido ,& 0 0 0 2 ,3 ,3 ,1 1 ,O ,O 11 ,8 ,6 ,37 ,27 ,37 ,57 ,46 ,51 ,25 ,23 ,12 ,11 ,12 ,16 0 
Total ,1 4 14 82 ,108 ,106 ,92 108 ,159 ,387 645 ,1025 ,1270 ,1775 ,2657 ,2637 ,2720 ,2505 ,2341 ,1941 ,1750 ,1559 ,1599 ,1764 ,882 0 
