Penco,&49865,666,1335.6,5,10.0,138,276.7,138,276.7
Quilaco ,4179 ,27 ,646.1 ,O ,0.0 ,7 ,167.5 ,7 ,167.5 
Quilleco ,10032 ,74 ,737.6 ,1 ,10.0 ,13 ,129.6 ,13 ,129.6 
San Pedro de la Paz ,& 145906 ,1131 ,775.2 ,17 ,11.7 ,136 ,93.2 ,136 ,93.2 
San Rosendo ,3611 ,36 ,997.0 ,1 ,27.7 ,1 ,27.7 ,1 ,27.7 
Santa Barbara ,14592 ,164 ,1123.9 ,2 ,13.7 ,11 ,75.4 ,11 ,75.4 
Santa Juana ,14779 ,98 ,663.1 ,4 ,27.1 ,8 ,54.1 ,8 ,54.1 
Talcahuano ,& 158345 ,1639 ,1035.1 ,18 ,11.4 ,217 ,137.0 ,214 ,135.1 
Tirua ,11019 ,40 ,363.0 ,O ,0.0 ,7 ,63.5 ,7 ,63.5 
Tome ,58729 ,602 ,1025.0 ,1 ,1.7 ,126 ,214.5 ,126 ,214.5 
Tucapel ,15205 ,163 ,1072.0 ,2 ,13.2 ,7 ,46.0 ,7 ,46.0 
Yumbel ,22132 ,240 ,1084.4 ,1 ,4.5 ,22 ,99.4 ,22 ,99.4 
Desconocido ,& - ,183 ,- ,0 ,- ,29 ,- ,29 ,- 
,,,,,,,,,
,,,,,,,,,
,SE SE SE ,SE SE SE ,SE SE SE ,SE SE SE ,SE SE ,SE SE ,SE SE SE ,SE ,SE SE SE 
,,,,,,,,,
