125,,,,15,,,,6,,,,
100 ,,,,,,,,,,,,
75 ,,,,10 ,,,,4 ,,,,
50 ,,,,,,,,,,,,
25 ,,,,5 ,,,,2 ,,,,
00 ,,II I ,I I I ,I 0 ,II ,I II ,,0 ,,,,
mar ,abr may ,jun ,jul ago ,sept ,mar abr ,may jun ,jul ago ,sept mar ,abr may ,jun ,jul ago sept ,
Copiapo ,,,,Diego ,de Almagro ,,,Freirina ,,,,
125 ,,,,,,,,8 ,,,,
100 ,,,,9 ,,,,,,,,
,,,,,,,,6 ,,,,
75 ,,,,6 ,,,,,,,,
50 ,,,,,,,,4 ,,,,
,,,,,,,,,,,,
25 ,,,,3 ,,,,2 ,,,,
0 ,- ,,,I 0 ,I I ,IIIIIII ,II ,0 ,,,,
mar ,abr may ,jun ,jul ago ,sept mar ,abr may ,jun ,jul ago ,sept mar ,abr may ,jun ,jul ago sept ,
Huasco ,,,,Tierra 125 ,Amarilla ,,,Vallenar 30 ,,,,
,,,,,,,,,,,,
75 ,,,,100 ,,,,,,,,
50 ,,,,75 ,,,,20 ,,,,
,,,,,,,,,,,,
25 ,,,,50 25 ,,,,10 ,,,,
00 ,,,,00 ,ILI ,I ,,II 0 ,I ,,,
