Comuna,SESESE,SE,SESE,SE,SE,SESE,SE,SESE,SESE,SE,SE,SE,SE,SE,SESE,SE
,9 10 11 ,12 ,13 14 ,15 ,16 ,17 18 ,19 ,20 21 ,22 23 ,24 ,25 ,26 ,27 ,28 ,29 30 ,31 
Alto Biobio ,O O O ,O ,O O ,0 ,O ,0 O ,O ,7 43 ,51 27 ,11 ,10 ,2 ,7 ,9 ,3 1 ,O 
Antuco ,& O 0 O ,0 ,O O ,O ,O ,O O ,2 ,2 2 ,13 2 ,5 ,14 ,4 ,5 ,5 ,1 0 ,O 
Arauco ,& O O 1 ,2 ,2 1 ,O ,O ,O 5 ,4 ,14 17 ,24 22 ,34 ,65 ,62 ,29 ,11 ,27 6 ,O 
Cabrero ,& 0 0 O ,1 ,O 4 ,3 ,7 ,1 3 ,4 ,2 3 ,3 8 ,24 ,35 ,14 ,11 ,11 ,10 O ,O 
Canete ,O 0 O ,O ,O 0 ,O ,0 ,O O ,O ,1 9 ,4 7 ,1 ,7 ,4 ,3 ,12 ,28 2 ,O 
Chiguayante ,& O O 5 ,5 ,9 16 ,12 ,10 ,13 8 ,7 ,9 9 ,27 40 ,60 ,53 ,51 ,60 ,72 ,51 13 ,O 
Concepcion ,& 1 1 7 ,28 ,31 23 ,23 ,18 ,14 20 ,19 ,21 93 ,99 135 ,252 ,259 ,174 ,133 ,137 ,141 24 ,O 
Contulmo ,O O O ,0 ,O O ,O ,O ,O O ,O ,O 1 ,1 O ,O ,11 ,27 ,3 ,O ,2 O ,O 
Corone ,& O O 1 ,6 ,7 4 ,1 ,O ,5 2 ,13 ,16 50 ,131 111 ,152 ,225 ,170 ,148 ,98 ,99 19 ,O 
Curanilahue ,O O O ,1 ,O O ,O ,O ,O 1 ,3 ,O 2 ,4 12 ,9 ,17 ,19 ,25 ,46 ,31 4 ,O 
Florida ,O O O ,O ,2 1 ,O ,O ,O O ,2 ,O 2 ,O O ,7 ,7 ,11 ,2 ,4 ,3 5 ,O 
Hualpen ,O O 3 ,23 ,33 27 ,17 ,8 ,2 6 ,11 ,9 17 ,31 26 ,70 ,86 ,108 ,71 ,81 ,60 14 ,0 
Hualqui ,O 0 1 ,1 ,2 3 ,4 ,9 ,O 1 ,2 ,5 12 ,7 13 ,17 ,38 ,30 ,15 ,15 ,24 0 ,O 
Laja ,O 1 1 ,O ,3 1 ,1 ,1 ,5 1 ,17 ,20 8 ,7 6 ,10 ,15 ,20 ,18 ,18 ,12 O ,O 
Lebu ,0 O O ,0 ,O O ,O ,O ,O 1 ,1 ,O O ,6 6 ,5 ,8 ,3 ,O ,2 ,6 1 ,O 
Los Alamos ,O O O ,O ,O O ,1 ,O ,O 1 ,O ,1 O ,3 4 ,4 ,38 ,28 ,14 ,10 ,15 3 ,O 
Los Angeles ,& O O 3 ,6 ,9 6 ,5 ,4 ,O 4 ,32 ,64 89 ,78 87 ,88 ,135 ,161 ,115 ,98 ,91 10 ,O 
Lota ,0 O O ,1 ,O 1 ,O ,O ,O 1 ,16 ,10 15 ,21 23 ,45 ,67 ,62 ,56 ,37 ,31 3 ,O 
Mulchen ,0 O O ,1 ,4 O ,O ,O ,O 2 ,3 ,1 1 ,11 3 ,3 ,12 ,27 ,26 ,25 ,8 O ,O 
Nacimiento ,O O O ,2 ,3 3 ,2 ,O ,1 3 ,8 ,4 8 ,7 6 ,20 ,30 ,28 ,17 ,13 ,2 O ,O 
Negrete ,O O O ,O ,O 2 ,O ,O ,O O ,7 ,12 10 ,9 12 ,21 ,15 ,17 ,6 ,12 ,4 4 ,O 
Penco ,& O O O ,1 ,4 3 ,3 ,8 ,O 3 ,2 ,2 10 ,14 43 ,74 ,50 ,52 ,47 ,39 ,39 6 ,O 
Quilaco ,O O O ,O ,O O ,O ,0 ,O O ,O ,O O ,2 3 ,1 ,1 ,5 ,O ,1 ,3 O ,0 
Quilleco ,O O O ,O ,O O ,O ,O ,O O ,O ,O 1 ,2 2 ,2 ,1 ,8 ,12 ,10 ,6 1 ,O 
San Pedro de la Paz ,0 O 6 ,35 ,17 23 ,8 ,11 ,4 3 ,14 ,14 38 ,64 66 ,98 ,115 ,79 ,96 ,74 ,76 18 ,O 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
