Tiltil,21477,12,55.9,5,23.3,5,23.3,00,0,2,1,2,1,1,3,20
Vitacura ,96774 ,164 ,169.5 ,29 ,30.0 ,29 ,30.0 ,0 7 ,31 ,45 ,27 ,13 ,5 ,5 ,13 ,18 0 
Total ,8125072 ,13473 ,165.8 ,6038 ,74.3 ,6022 ,74.1 ,11 44 ,321 ,934 ,1004 ,1196 ,1508 ,2103 ,3473 ,2873 4 
