16170,207,1280.1,2,12.4,38,235.0,38,235.0,00O,120O10OOO,812,2023,36,5730,8
19469 ,63 ,323.6 ,0 ,0.0 ,12 ,61.6 ,12 ,61.6 ,O O 0 ,0 0 1 0 1 O 1 1 ,0 3 ,7 17 ,11 ,9 9 ,3 
46292 ,340 ,734.5 ,4 ,8.6 ,114 ,246.3 ,114 ,246.3 ,0 1 0 ,0 0 1 2 7 1 7 7 ,14 18 ,20 39 ,44 ,65 79 ,35 
49451 ,267 ,539.9 ,4 ,8.1 ,57 ,115.3 ,56 ,113.2 ,0 O O ,1 2 7 4 7 4 3 7 ,8 9 ,22 51 ,42 ,43 32 ,25 
9959 ,107 ,1074.4 ,0 ,0.0 ,18 ,180.7 ,18 ,180.7 ,0 0 0 ,0 1 0 1 1 0 0 5 ,10 28 ,7 17 ,8 ,11 14 ,4 
236724 ,1392 ,588.0 ,11 ,4.6 ,339 ,143.2 ,339 ,143.2 ,O 4 9 ,13 19 11 16 74 17 12 22 ,53 74 ,83 167 ,207 ,272 246 ,93 
30850 ,136 ,440.8 ,3 ,9.7 ,37 ,119.9 ,37 ,119.9 ,0 0 O ,1 1 0 1 1 1 3 3 ,3 4 ,7 11 ,33 ,30 29 ,8 
4381 ,1 ,22.8 ,0 ,0.0 ,1 ,22.8 ,1 ,22.8 ,0 0 0 ,0 0 0 0 0 O 0 0 ,0 0 ,0 0 ,O ,0 1 ,O 
17512 ,69 ,394.0 ,1 ,5.7 ,19 ,108.5 ,19 ,108.5 ,0 0 0 ,0 0 0 1 1 0 0 1 ,2 0 ,9 17 ,9 ,10 10 ,9 
19200 ,98 ,510.4 ,3 ,15.6 ,7 ,36.5 ,7 ,36.5 ,O O O ,0 O 0 1 O 2 O 5 ,9 12 ,23 13 ,16 ,10 7 ,O 
- ,39 ,- ,0 ,- ,7 ,,7 ,- ,0 0 0 ,0 0 0 0 0 1 0 0 ,1 0 ,4 6 ,7 ,13 4 ,3 
1131939 ,6767 ,597.8 ,78 ,6.9 ,1428 ,126.2 ,1424 ,125.8 ,1 6 11 ,28 52 48 66 168 50 51 122 ,251 488 ,734 966 ,1081 ,1216 1044 ,384 
