Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Chepica ,15925 ,165 ,1036.1 ,4 ,25.1 ,12 ,75.4 ,12 ,75.4 
Chimbarongo ,37696 ,210 ,557.1 ,6 ,15.9 ,8 ,21.2 ,8 ,21.2 
Codegua ,14096 ,242 ,1716.8 ,6 ,42.6 ,20 ,141.9 ,20 ,141.9 
Coinco ,& 7831 ,129 ,1647.3 ,4 ,51.1 ,7 ,89.4 ,7 ,89.4 
Coltauco ,& 21263 ,295 ,1387.4 ,10 ,47.0 ,41 ,192.8 ,41 ,192.8 
Donihue ,& 22700 ,451 ,1986.8 ,8 ,35.2 ,28 ,123.3 ,28 ,123.3 
Graneros ,36504 ,540 ,1479.3 ,4 ,11.0 ,61 ,167.1 ,61 ,167.1 
La Estrella ,3114 ,37 ,1188.2 ,O ,0.0 ,1 ,32.1 ,1 ,32.1 
Las Cabras ,26749 ,289 ,1080.4 ,6 ,22.4 ,50 ,186.9 ,50 ,186.9 
Litueche ,6765 ,94 ,1389.5 ,2 ,29.6 ,8 ,118.3 ,8 ,118.3 
Lolol ,7289 ,61 ,836.9 ,2 ,27.4 ,9 ,123.5 ,9 ,123.5 
Machali ,59913 ,1031 ,1720.8 ,13 ,21.7 ,34 ,56.7 ,34 ,56.7 
Malloa ,& 14163 ,144 ,1016.7 ,5 ,35.3 ,7 ,49.4 ,7 ,49.4 
Marchihue ,7632 ,30 ,393.1 ,0 ,0.0 ,1 ,13.1 ,1 ,13.1 
Mostazal ,& 27462 ,279 ,1015.9 ,5 ,18.2 ,20 ,72.8 ,20 ,72.8 
Nancagua ,19141 ,115 ,600.8 ,3 ,15.7 ,19 ,99.3 ,19 ,99.3 
Navidad ,6904 ,76 ,1100.8 ,2 ,29.0 ,0 ,0.0 ,O ,0.0 
Olivar ,14624 ,242 ,1654.8 ,4 ,27.4 ,20 ,136.8 ,20 ,136.8 
Palmilla ,& 13299 ,70 ,526.4 ,4 ,30.1 ,11 ,82.7 ,11 ,82.7 
Paredones ,6349 ,31 ,488.3 ,2 ,31.5 ,2 ,31.5 ,2 ,31.5 
Peralillo ,11848 ,65 ,548.6 ,1 ,8.4 ,3 ,25.3 ,3 ,25.3 
