Comuna,Busquedasactivas(%),CoberturadeTesteo(%),Oportunidadnotificacion(%)
Alto Hospicio ,603 ,922 ,849 
Camina ,333 ,100 ,1000 
Colchane ,913 ,100 ,542 
Huara ,913 ,240 ,760 
Iquique ,610 ,931 ,639 
Pica ,742 ,984 ,943 
Pozo Almonte ,746 ,952 ,859 
Total ,6351 ,9103 ,7280 
