Region,Totaldefunciones,Tasaobservada,Tasaajustada
Pais ,4012 ,206 ,129 
XV Arica y Parinacota ,43 ,171 ,116 
ITarapaca ,39 ,102 ,88 
HI Antofagasta ,142 ,205 ,19.0 
III Atacama ,38 ,121 ,82 
IV Coquimbo ,68 ,81 ,47 
VValparaiso ,407 ,208 ,111 
Region Metropolitana ,2500 ,30.8 ,20.9 
VI O'Higgins ,170 ,172 ,102 
VII Maule ,153 ,135 ,7.8 
XVI De Nuble ,46 ,9.0 ,43 
VIII Del Biobio ,147 ,88 ,53 
IX Araucania ,118 ,11.6 ,61 
XIV Los Rios ,23 ,57 ,29 
(Los Lagos ,80 ,90 ,56 
XI Aysen ,4 ,37 ,24 
XII Magallanes y la Antartica ,33 ,185 ,11.0 
Ignorada ,1 ,00 ,00 
