Lebu,6,6,1000,6,6,1000
Los Alamos ,14 ,13 ,929 ,16 ,16 ,1000 
Los Angeles ,55 ,55 ,1000 ,155 ,152 ,981 
Lota ,46 ,45 ,978 ,70 ,24 ,343 
Mulchen ,9 ,9 ,1000 ,24 ,24 ,1000 
Nacimiento ,2 ,2 ,1000 ,18 ,18 ,1000 
Negrete ,3 ,3 ,1000 ,9 ,9 ,1000 
Penco ,71 ,66 ,930 ,212 ,80 ,377 
Quilaco ,3 ,3 ,1000 ,12 ,12 ,1000 
Quilleco ,16 ,16 ,1000 ,15 ,15 ,1000 
San Pedro de la Paz ,87 ,83 ,954 ,251 ,94 ,375 
San Rosendo ,1 ,1 ,1000 ,3 ,3 ,1000 
Santa Barbara ,9 ,9 ,1000 ,11 ,11 ,1000 
Santa Juana ,3 ,3 ,1000 ,20 ,8 ,400 
Talcahuano ,130 ,126 ,969 ,582 ,251 ,431 
Tirua ,1 ,1 ,1000 ,2 ,2 ,1000 
Tome ,81 ,78 ,963 ,225 ,74 ,329 
Tucapel ,0 ,0 ,,1 ,1 ,1000 
Yumbel ,20 ,20 ,1000 ,76 ,76 ,1000 
Total ,1.083 ,1.037 ,958 ,2.886 ,1.388 ,481 
