Peumo,14952,44,294.3,3,,20.1,17,,113.7,
Pichidegua ,& 20743 ,123 ,593.0 ,3 ,,14.5 ,30 ,,144.6 ,
Pichilemu ,17882 ,50 ,279.6 ,0 ,,0.0 ,13 ,,72.7 ,
Placilla ,9164 ,55 ,600.2 ,O ,,0.0 ,9 ,,98.2 ,
Pumanque ,3531 ,4 ,113.3 ,O ,,0.0 ,O ,,0.0 ,
Quinta de Tilcoco ,13877 ,83 ,598.1 ,3 ,,21.6 ,18 ,,129.7 ,
Rancagua ,& 265211 ,5169 ,1949.0 ,72 ,,27.1 ,675 ,,254.5 ,
Rengo ,& 63710 ,839 ,1316.9 ,5 ,,7.8 ,254 ,,398.7 ,
Requinoa ,& 30371 ,344 ,1132.7 ,5 ,,16.5 ,61 ,,200.8 ,
San Fernando ,& 78642 ,342 ,434.9 ,6 ,,7.6 ,81 ,,103.0 ,
San Vicente ,50617 ,328 ,648.0 ,7 ,,13.8 ,64 ,,126.4 ,
Santa Cruz ,& 41096 ,149 ,362.6 ,3 ,,7.3 ,35 ,,85.2 ,
Desconocido ,& - ,96 ,- ,0 ,,- ,30 ,,- ,
Total ,991063 ,11001 ,1110.0 ,160 ,,16.1 ,1809 ,,182.5 ,
,,,,,,,,,,
,SE SE SE SE ,SE SE SE ,SE SE SE SE ,SE SE SE ,,SE SE ,SE ,SE ,SE SE ,
Comuna ,9 10 11 12 ,13 14 15 ,16 17 18 19 ,20 21 ,22 ,23 24 ,25 ,26 ,27 28 ,
Chepica ,1 O 0 0 ,0 0 0 ,0 0 O 1 ,6 0 4 ,,6 22 ,18 ,20 ,17 29 ,
Chimbarongo ,& 0 O 0 2 ,1 0 0 ,O 1 1 5 ,13 8 ,7 ,12 18 ,18 ,29 ,21 13 ,
Codegua ,& O O O 1 ,O O O ,O O O 1 ,3 7 ,11 ,13 17 ,21 ,34 ,23 24 ,
Coinco ,0 O 0 0 ,O O O ,O 1 O 4 ,10 8 3 ,,5 7 ,19 ,9 ,16 9 ,
Coltauco ,& O O 0 0 ,0 0 0 ,O O O 15 ,9 13 4 ,,4 9 ,21 ,23 ,17 22 ,
Donihue ,& O O 0 0 ,O 0 O ,1 1 5 12 ,16 14 ,10 ,20 31 ,67 ,59 ,55 42 ,
Graneros ,& O O O 1 ,O 0 O ,O 3 7 13 ,22 24 23 ,,32 47 ,66 ,66 ,57 42 ,
Estrella ,0 0 0 0 ,0 0 0 ,O 0 O 0 ,O 0 ,1 ,4 6 ,2 ,12 ,6 O ,
Las Cabras ,& O O O O ,O O 1 ,2 4 3 2 ,4 3 ,5 ,9 16 ,25 ,41 ,27 25 ,
Litueche ,O 0 O O ,O O O ,1 5 2 2 ,3 O ,1 ,6 15 ,21 ,6 ,8 3 ,
Lolol ,O O O 0 ,0 0 0 ,O O O 1 ,2 1 ,10 ,5 7 ,5 ,13 ,1 O ,
Machali ,& 0 O 1 4 ,1 0 4 ,O 5 5 9 ,18 25 ,36 ,56 104 ,222 ,193 ,120 57 ,
