Region,Totaldefunciones,Tasaobservada,Tasaajustada
Pais ,10395 ,534 ,33.4 
XV Arica y Parinacota ,82 ,325 ,221 
Tarapaca ,185 ,483 ,42.1 
II Antofagasta ,399 ,57.7 ,528 
III Atacama ,26 ,8.3 ,5.5 
IV Coquimbo ,95 ,114 ,6.7 
VValparaiso ,600 ,30.6 ,162 
Region Metropolitana ,8074 ,994 ,67.7 
VI O'Higgins ,299 ,302 ,175 
VII Maule ,218 ,193 ,107 
XVI De Nuble ,73 ,143 ,7.1 
VIII Del Biobio ,156 ,94 ,57 
IX Araucania ,85 ,84 ,4.5 
XIV Los Rios ,15 ,3.7 ,21 
XLos Lagos ,56 ,63 ,3.6 
XI Aysen ,1 ,09 ,1.1 
XII Magallanes y la Antartica ,30 ,168 ,10.0 
Ignorada ,1 ,00 ,00 
