,,,,,,,,,Numero,deCasossegun,Fechade,Iniciode,Sintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE 14 15 ,SE SE 16 17 ,SE SE 18 19 ,SE 20 ,SE SE 21 22 ,SE SE SE 23 24 25 
Angol ,56058 ,262 ,467.4 ,4 ,7.1 ,86 ,153.4 ,84 ,149.8 ,O 1 1 3 ,10 ,11 15 ,35 27 ,11 10 ,7 ,24 19 ,53 35 0 
Carahue ,25486 ,69 ,270.7 ,0 ,0.0 ,6 ,23.5 ,6 ,23.5 ,O O 0 O ,3 ,10 9 ,8 5 ,1 O ,2 ,14 11 ,5 1 0 
Cholchol ,12341 ,24 ,194.5 ,0 ,0.0 ,5 ,40.5 ,5 ,40.5 ,O O O 1 ,2 ,0 0 ,1 0 ,0 1 ,0 ,1 12 ,5 1 0 
Collipulli ,26148 ,41 ,156.8 ,2 ,7.6 ,9 ,34.4 ,9 ,34.4 ,O O 0 O ,0 ,1 1 ,1 3 ,O 2 ,9 ,8 6 ,7 3 O 
Cunco ,18055 ,49 ,271.4 ,1 ,5.5 ,15 ,83.1 ,15 ,83.1 ,O O O O ,3 ,2 O ,1 O ,O 1 ,5 ,18 O ,12 7 0 
Curacautin ,18178 ,18 ,99.0 ,0 ,0.0 ,9 ,49.5 ,9 ,49.5 ,0 O 0 2 ,0 ,2 0 ,0 2 ,O 1 ,0 ,0 2 ,2 7 0 
Curarrehue ,7802 ,4 ,51.3 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 1 1 ,2 ,O 0 ,0 O ,0 O ,O ,O O ,0 O 0 
Ercilla ,8458 ,18 ,212.8 ,0 ,0.0 ,2 ,23.6 ,2 ,23.6 ,0 0 0 O ,0 ,4 1 ,4 1 ,1 0 ,0 ,4 1 ,1 1 0 
Freire& ,25446 ,95 ,373.3 ,1 ,3.9 ,21 ,82.5 ,21 ,82.5 ,0 0 O 2 ,4 ,O O ,2 0 ,0 11 ,11 ,28 15 ,18 4 0 
Galvarino ,12633 ,97 ,767.8 ,O ,0.0 ,43 ,340.4 ,43 ,340.4 ,O 0 O O ,0 ,2 O ,0 O ,1 O ,O ,6 43 ,39 6 O 
Gorbea& ,15148 ,33 ,217.9 ,1 ,6.6 ,8 ,52.8 ,8 ,52.8 ,0 0 1 4 ,4 ,1 O ,1 0 ,1 3 ,0 ,5 5 ,5 3 0 
Lautaro ,40746 ,102 ,250.3 ,0 ,0.0 ,11 ,27.0 ,11 ,27.0 ,1 0 O 6 ,3 ,15 5 ,6 2 ,8 9 ,3 ,13 20 ,6 5 0 
Loncoche ,24739 ,49 ,198.1 ,0 ,0.0 ,1 ,4.0 ,1 ,4.0 ,0 0 0 2 ,3 ,2 4 ,3 3 ,1 2 ,2 ,6 19 ,1 1 0 
Lonquimay ,11049 ,66 ,597.3 ,1 ,9.1 ,O ,0.0 ,0 ,0.0 ,0 0 O 0 ,0 ,0 O ,0 2 ,13 12 ,26 ,12 1 ,0 0 0 
Los Sauces ,7517 ,7 ,93.1 ,0 ,0.0 ,2 ,26.6 ,2 ,26.6 ,0 0 0 O ,0 ,O O ,1 0 ,O 0 ,0 ,1 3 ,2 0 0 
Lumaco ,10050 ,15 ,149.3 ,0 ,0.0 ,1 ,10.0 ,1 ,10.0 ,0 0 0 O ,0 ,O O ,4 2 ,1 O ,1 ,3 2 ,2 0 0 
Melipeuco ,6265 ,8 ,127.7 ,0 ,0.0 ,1 ,16.0 ,1 ,16.0 ,0 0 0 0 ,0 ,0 0 ,0 0 ,0 0 ,0 ,5 2 ,1 0 0 
Nueva Imperia ,33777 ,89 ,263.5 ,1 ,3.0 ,29 ,85.9 ,29 ,85.9 ,0 0 O 4 ,10 ,4 12 ,7 3 ,2 6 ,5 ,2 3 ,20 11 0 
Padre Las Casas ,82110 ,168 ,204.6 ,4 ,4.9 ,4 ,4.9 ,4 ,4.9 ,0 0 0 12 ,28 ,24 16 ,15 11 ,0 5 ,24 ,16 13 ,3 1 0 
