Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Bulnes ,& 22607 ,712 ,3149.5 ,39 ,172.5 ,39 ,172.5 
Chillan ,& 198624 ,3553 ,1788.8 ,290 ,146.0 ,290 ,146.0 
Chillan Viejo ,& 33827 ,511 ,1510.6 ,29 ,85.7 ,29 ,85.7 
Cobquecura ,5275 ,34 ,644.5 ,4 ,75.8 ,4 ,75.8 
Coelemu ,16845 ,151 ,896.4 ,17 ,100.9 ,17 ,100.9 
Coihueco ,28375 ,429 ,1511.9 ,77 ,271.4 ,77 ,271.4 
EI Carmen ,12334 ,179 ,1451.3 ,9 ,73.0 ,9 ,73.0 
Ninhue ,5414 ,68 ,1256.0 ,4 ,73.9 ,4 ,73.9 
Niquen ,11567 ,164 ,1417.8 ,5 ,43.2 ,5 ,43.2 
Pemuco ,8639 ,149 ,1724.7 ,13 ,150.5 ,13 ,150.5 
Pinto ,11880 ,119 ,1001.7 ,13 ,109.4 ,13 ,109.4 
Portezuelo ,4940 ,41 ,830.0 ,3 ,60.7 ,3 ,60.7 
Quillon ,18777 ,343 ,1826.7 ,38 ,202.4 ,38 ,202.4 
Quirihue ,12192 ,151 ,1238.5 ,9 ,73.8 ,9 ,73.8 
Ranquil ,6261 ,69 ,1102.1 ,5 ,79.9 ,5 ,79.9 
San Carlos ,& 56252 ,714 ,1269.3 ,39 ,69.3 ,39 ,69.3 
San Fabian ,4654 ,33 ,709.1 ,7 ,150.4 ,7 ,150.4 
San Ignacio ,16624 ,213 ,1281.3 ,9 ,54.1 ,9 ,54.1 
San Nicolas ,12172 ,201 ,1651.3 ,19 ,156.1 ,19 ,156.1 
Treguaco ,5696 ,66 ,1158.7 ,2 ,35.1 ,2 ,35.1 
Yungay ,18596 ,189 ,1016.3 ,22 ,118.3 ,22 ,118.3 
Desconocido ,& - ,2 ,- ,O ,- ,O ,- 
