Region,Totaldefunciones,Tasaobservada,Tasaajustada
Pais ,3893 ,200 ,126 
XV Arica y Parinacota ,31 ,12.3 ,8.5 
I Tarapaca ,37 ,9.7 ,8.4 
II Antofagasta ,134 ,194 ,18.0 
III Atacama ,30 ,95 ,6.5 
IV Coquimbo ,62 ,7.4 ,4.2 
V Valparaiso ,373 ,19.0 ,10.2 
Region Metropolitana ,2415 ,29.7 ,20.3 
VI O'Higgins ,154 ,15.5 ,9.2 
VII Maule ,164 ,14.5 ,8.5 
XVI De Nuble ,47 ,92 ,44 
VIII Del Biobio ,170 ,10.2 ,6.3 
IX Araucania ,115 ,113 ,60 
XIV Los Rios ,30 ,7.4 ,3.7 
Los Lagos ,91 ,10.2 ,6.4 
Aysen ,4 ,3.7 ,2.4 
XII Magallanes y la Antartica ,35 ,19.6 ,11.8 
Ignorada ,1 ,00 ,0.0 
