Comuna,Busquedasactivas(%),Positividad(%),CoberturaTesteo(%),Oportunidadnotificacion(%)
Alto del Carmen ,644 ,205 ,948 ,67 
Caldera ,307 ,84 ,936 ,952 
Chanaral ,280 ,78 ,963 ,333 
Copiapo ,441 ,199 ,929 ,671 
Diego de Almagro ,657 ,217 ,836 ,968 
Freirina ,276 ,296 ,922 ,621 
Huasco ,833 ,42 ,876 ,625 
Tierra Amarilla ,436 ,126 ,940 ,978 
Vallenar ,444 ,134 ,826 ,712 
Total ,441 ,164 ,917 ,699 
