Comuna,SESESE,SE,SE,SE,SE,SESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE
,9 10 11 ,12 ,13 ,14 ,15 ,16 17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
Arica ,& O 2 1 ,2 ,23 ,70 ,67 ,53 69 ,51 ,45 ,89 ,147 ,194 ,279 ,273 ,294 ,348 ,426 ,618 ,321 ,O 
Camarones ,O O 0 ,O ,O ,O ,O ,0 O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,1 ,12 ,O ,O 
General Lagos ,O 0 O ,O ,O ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O 
Putre ,O O O ,O ,O ,O ,O ,O O ,O ,O ,O ,O ,O ,1 ,9 ,O ,1 ,6 ,11 ,2 ,O 
Desconocido ,& 0 O O ,O ,O ,O ,1 ,O O ,O ,O ,O ,1 ,O ,O ,O ,O ,O ,O ,O ,3 ,O 
Total ,0 2 1 ,2 ,23 ,70 ,68 ,53 69 ,51 ,45 ,89 ,148 ,194 ,280 ,282 ,294 ,349 ,433 ,641 ,326 ,0 
