Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alhue ,& ,7405 ,327 ,4415.9 ,33 ,445.6 ,33 ,445.6 
Buin ,& ,109641 ,2740 ,2499.1 ,112 ,102.2 ,112 ,102.2 
Calera de Tango ,& ,28525 ,644 ,2257.7 ,34 ,119.2 ,33 ,115.7 
Cerrillos ,& ,88956 ,3241 ,3643.4 ,53 ,59.6 ,53 ,59.6 
Cerro Navia ,& ,142465 ,7047 ,4946.5 ,106 ,74.4 ,105 ,73.7 
Colina ,& ,180353 ,4905 ,2719.7 ,114 ,63.2 ,114 ,63.2 
Conchali ,& ,139195 ,6559 ,4712.1 ,101 ,72.6 ,101 ,72.6 
Curacavi ,,36430 ,1028 ,2821.9 ,70 ,192.1 ,70 ,192.1 
EI Bosque ,& ,172000 ,6850 ,3982.6 ,130 ,75.6 ,129 ,75.0 
EI Monte ,,40014 ,1282 ,3203.9 ,20 ,50.0 ,20 ,50.0 
Estacion Central ,& ,206792 ,6548 ,3166.5 ,107 ,51.7 ,105 ,50.8 
Huechuraba ,& ,112528 ,4101 ,3644.4 ,78 ,69.3 ,78 ,69.3 
Independencia ,& ,142065 ,6844 ,4817.5 ,141 ,99.3 ,139 ,97.8 
Isla de Maipo ,& ,40171 ,1258 ,3131.6 ,42 ,104.6 ,41 ,102.1 
La Cisterna ,& ,100434 ,3475 ,3460.0 ,65 ,64.7 ,64 ,63.7 
La Florida ,& ,402433 ,14439 ,3587.9 ,291 ,72.3 ,290 ,72.1 
La Granja ,,122557 ,7285 ,5944.2 ,79 ,64.5 ,79 ,64.5 
La Pintana ,& ,189335 ,11099 ,5862.1 ,191 ,100.9 ,191 ,100.9 
La Reina ,& ,100252 ,2408 ,2401.9 ,37 ,36.9 ,37 ,36.9 
Lampa ,& ,126898 ,3789 ,2985.9 ,88 ,69.3 ,88 ,69.3 
Las Condes ,& ,330759 ,6255 ,1891.1 ,119 ,36.0 ,119 ,36.0 
Lo Barnechea ,& ,124076 ,3594 ,2896.6 ,93 ,75.0 ,93 ,75.0 
Lo Espejo ,& ,103865 ,4562 ,4392.2 ,101 ,97.2 ,100 ,96.3 
Lo Prado ,& ,104403 ,5295 ,5071.7 ,154 ,147.5 ,154 ,147.5 
Macul ,& ,134635 ,5264 ,3909.8 ,93 ,69.1 ,93 ,69.1 
