Nacimiento,27944,66,236.2,1,3.6,21,75.2,21,75.2,O002,3,32,013,84,87,515,5
Negrete ,10429 ,73 ,700.0 ,O ,0.0 ,27 ,258.9 ,27 ,258.9 ,0 0 O O ,0 ,2 O ,0 0 0 ,7 12 ,10 9 ,11 18 ,4 
Penco& ,49865 ,167 ,334.9 ,0 ,0.0 ,87 ,174.5 ,87 ,174.5 ,0 0 0 1 ,3 ,3 3 ,8 0 3 ,2 2 ,10 14 ,43 55 ,20 
Quilaco ,4179 ,6 ,143.6 ,0 ,0.0 ,3 ,71.8 ,3 ,71.8 ,0 0 0 0 ,O ,O O ,O O 0 ,O 0 ,0 2 ,3 1 ,O 
Quilleco& ,10032 ,7 ,69.8 ,0 ,0.0 ,1 ,10.0 ,1 ,10.0 ,0 0 0 O ,0 ,O O ,O 0 0 ,O 0 ,1 3 ,2 1 ,O 
San Pedro de la Paz& ,145906 ,388 ,265.9 ,3 ,2.1 ,125 ,85.7 ,124 ,85.0 ,0 0 6 34 ,17 ,24 8 ,11 3 2 ,13 13 ,38 61 ,64 70 ,24 
San Rosendo ,3611 ,12 ,332.3 ,0 ,0.0 ,2 ,55.4 ,2 ,55.4 ,0 0 0 0 ,0 ,0 O ,O 0 0 ,1 1 ,0 2 ,6 0 ,2 
Santa Barbara ,14592 ,72 ,493.4 ,0 ,0.0 ,27 ,185.0 ,27 ,185.0 ,0 0 0 0 ,2 ,0 O ,O 0 O ,4 9 ,7 18 ,8 17 ,7 
Santa Juana ,14779 ,45 ,304.5 ,0 ,0.0 ,31 ,209.8 ,31 ,209.8 ,0 0 0 0 ,0 ,1 0 ,0 1 0 ,0 0 ,0 3 ,16 18 ,6 
Talcahuano& ,158345 ,422 ,266.5 ,1 ,0.6 ,126 ,79.6 ,126 ,79.6 ,0 0 1 16 ,16 ,17 14 ,14 20 17 ,19 18 ,42 69 ,55 71 ,33 
Tirua ,11019 ,14 ,127.1 ,0 ,0.0 ,7 ,63.5 ,7 ,63.5 ,0 0 0 1 ,2 ,1 0 ,0 0 0 ,O 0 ,0 1 ,4 5 ,0 
Tome& ,58729 ,215 ,366.1 ,0 ,0.0 ,85 ,144.7 ,85 ,144.7 ,0 0 0 9 ,13 ,12 7 ,9 1 4 ,16 5 ,8 14 ,53 53 ,11 
Tucapel ,15205 ,67 ,440.6 ,0 ,0.0 ,19 ,125.0 ,19 ,125.0 ,0 0 0 0 ,0 ,1 0 ,0 0 0 ,1 4 ,6 11 ,32 8 ,4 
Yumbel8 ,22132 ,57 ,257.5 ,0 ,0.0 ,21 ,94.9 ,21 ,94.9 ,0 0 0 O ,5 ,O 1 ,1 1 2 ,4 3 ,5 12 ,2 15 ,6 
Desconocido ,- ,168 ,- ,O ,- ,123 ,- ,123 ,- ,0 0 0 2 ,0 ,O O ,2 1 0 ,6 6 ,8 11 ,11 69 ,52 
Total ,1663696 ,4869 ,292.7 ,26 ,1.6 ,1759 ,105.7 ,1753 ,105.4 ,1 2 29 140 ,159 ,149 100 ,102 66 85 ,219 255 ,510 756 ,846 1013 ,437 
