Comuna,Poblacion,Confirmados,Tasadeincidencia
Antofagasta ,425725 ,44 ,10.3 
Calama ,190336 ,5 ,2.6 
Maria Elena ,6814 ,- ,0.0 
Mejillones ,14776 ,- ,0.0 
Ollague ,287 ,- ,0.0 
San Pedro de Atacama ,10434 ,- ,28.8 
Sierra Gorda ,1746 ,- ,0.0 
Taltal ,13657 ,- ,0.0 
Tocopilla ,28079 ,- ,7.1 
Total ,691854 ,54 ,7.8 
