LagoVerde,0,0O,O,0,0,0,0,O,O,0,0,0,0,O,0,O,0,0,O
O'Higgins ,O ,0 O ,O ,O ,O ,O ,0 ,O ,O ,O ,O ,O ,O ,O ,O ,O ,0 ,O ,O 
Rio lbanez ,0 ,0 O ,O ,O ,O ,0 ,0 ,O ,O ,0 ,O ,O ,O ,O ,O ,0 ,0 ,0 ,O 
Tortel ,0 ,0 O ,O ,O ,0 ,O ,O ,O ,O ,0 ,O ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,O 
Desconocido ,O ,0 1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,O ,0 ,0 ,0 ,O ,0 ,0 ,O ,O 
Total ,0 ,0 3 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,1 ,0 ,5 ,5 ,3 ,4 ,9 ,12 ,3 ,9 
