Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Algarrobo ,& ,15174 ,108 ,711.7 ,7 ,46.1 ,2 ,13.2 ,2 ,13.2 
Cabildo ,& ,20663 ,277 ,1340.6 ,17 ,82.3 ,16 ,77.4 ,16 ,77.4 
Calera ,& ,53591 ,660 ,1231.6 ,14 ,26.1 ,113 ,210.9 ,112 ,209.0 
Calle Larga ,& ,16482 ,225 ,1365.1 ,1 ,6.1 ,5 ,30.3 ,4 ,24.3 
Cartagena ,& ,25357 ,170 ,670.4 ,3 ,11.8 ,12 ,47.3 ,12 ,47.3 
Casablanca ,& ,29170 ,179 ,613.6 ,1 ,3.4 ,19 ,65.1 ,19 ,65.1 
Catemu ,& ,15213 ,108 ,709.9 ,3 ,19.7 ,10 ,65.7 ,10 ,65.7 
Con Con ,& ,45889 ,475 ,1035.1 ,6 ,13.1 ,37 ,80.6 ,37 ,80.6 
Quisco ,& ,17742 ,160 ,901.8 ,3 ,16.9 ,15 ,84.5 ,15 ,84.5 
Tabo ,& ,14338 ,202 ,1408.8 ,8 ,55.8 ,9 ,62.8 ,9 ,62.8 
Hijuelas ,& ,19099 ,170 ,890.1 ,3 ,15.7 ,33 ,172.8 ,33 ,172.8 
Isla de Pascua ,,8277 ,5 ,60.4 ,O ,0.0 ,0 ,0.0 ,O ,0.0 
Juan Fernandez ,,1033 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Cruz ,& ,25321 ,166 ,655.6 ,2 ,7.9 ,28 ,110.6 ,28 ,110.6 
Ligua ,& ,37739 ,333 ,882.4 ,11 ,29.1 ,40 ,106.0 ,40 ,106.0 
Limache ,& ,49931 ,709 ,1420.0 ,15 ,30.0 ,57 ,114.2 ,57 ,114.2 
Llaillay ,& ,26533 ,298 ,1123.1 ,5 ,18.8 ,23 ,86.7 ,23 ,86.7 
LOs Andes ,& ,68093 ,949 ,1393.7 ,34 ,49.9 ,83 ,121.9 ,83 ,121.9 
Nogales ,& ,23490 ,150 ,638.6 ,2 ,8.5 ,34 ,144.7 ,34 ,144.7 
Olmue ,& ,19266 ,135 ,700.7 ,1 ,5.2 ,17 ,88.2 ,17 ,88.2 
Panquehue ,& ,7633 ,106 ,1388.7 ,0 ,0.0 ,25 ,327.5 ,25 ,327.5 
