Comuna,Proporcioninvestigados,decasosantesde,nuevos48hrs,Proporciondecontactos,casosconidentificados,Proporcioninvestigados,decontactosantesde,nuevos48hrs
,Casos Nuevos ,Investigados ,% ,Casos con Contactos ,% ,Contactos Nuevos ,Investigados ,% 
Alto del Carmen ,18 ,18 ,100 ,18 ,100 ,81 ,81 ,100 
Caldera ,70 ,70 ,100 ,67 ,950 ,263 ,260 ,989 
Chanaral ,16 ,16 ,100 ,15 ,952 ,91 ,91 ,100 
Copiapo ,699 ,662 ,947 ,623 ,891 ,1.982 ,1.723 ,869 
Diego de Almagro ,17 ,17 ,100 ,17 ,983 ,31 ,31 ,100 
Freirina ,26 ,26 ,100 ,26 ,100 ,182 ,180 ,989 
Huasco ,9 ,9 ,100 ,9 ,982 ,8 ,8 ,100 
Tierra Amarilla ,54 ,52 ,963 ,51 ,947 ,149 ,145 ,973 
Vallenar ,55 ,53 ,964 ,46 ,835 ,256 ,248 ,969 
Total ,964 ,923 ,957 ,871 ,904 ,3043 ,2767 ,909 
