Papudo,6201,112,1806.2,9,145.1,9,145.1
Petorca ,& 10558 ,131 ,1240.8 ,14 ,132.6 ,14 ,132.6 
Puchuncavi ,20071 ,196 ,976.5 ,15 ,74.7 ,15 ,74.7 
Putaendo ,17645 ,248 ,1405.5 ,8 ,45.3 ,8 ,45.3 
Quillota ,& 97572 ,1959 ,2007.7 ,154 ,157.8 ,154 ,157.8 
Quilpue ,& 167085 ,1976 ,1182.6 ,143 ,85.6 ,143 ,85.6 
Quintero ,& 36135 ,465 ,1286.8 ,14 ,38.7 ,14 ,38.7 
Rinconada ,11263 ,175 ,1553.8 ,1 ,8.9 ,1 ,8.9 
San Antonio ,& 96761 ,1466 ,1515.1 ,97 ,100.2 ,96 ,99.2 
San Esteban ,20643 ,242 ,1172.3 ,10 ,48.4 ,10 ,48.4 
San Felipe ,& 83494 ,1319 ,1579.8 ,78 ,93.4 ,78 ,93.4 
Santa Maria ,16367 ,268 ,1637.4 ,16 ,97.8 ,16 ,97.8 
Santo Domingo ,& 11934 ,158 ,1323.9 ,9 ,75.4 ,9 ,75.4 
Valparaiso ,& 315732 ,5137 ,1627.0 ,365 ,115.6 ,365 ,115.6 
Villa Alemana ,& 139310 ,1908 ,1369.6 ,154 ,110.5 ,153 ,109.8 
Vina del Mar ,& 361371 ,4866 ,1346.5 ,428 ,118.4 ,427 ,118.2 
Zapallar ,7994 ,99 ,1238.4 ,8 ,100.1 ,8 ,100.1 
Desconocido ,& - ,393 ,- ,23 ,- ,23 ,- 
Total ,1960170 ,29093 ,1484.2 ,2207 ,112.6 ,2197 ,112.1 
