Comuna,Proporcioninvestigados,decasosantesde,nuevos48hrs,Proporcionconidentificados,decasoscontactos,Proporcioninvestigados,decontactosantesde,nuevos48hrs
,Casos Nuevos ,Investigados ,% ,Casos con Contacto ,% ,Contactos Nuevos ,Investigados ,% 
Andacollo ,5 ,4 ,800 ,4 ,800 ,28 ,28 ,100 
Canela ,9 ,8 ,889 ,8 ,889 ,41 ,40 ,976 
Combarbala ,1 ,1 ,100 ,1 ,100 ,1 ,1 ,100 
Coquimbo ,358 ,338 ,944 ,348 ,972 ,1.431 ,1.411 ,986 
Illape ,32 ,28 ,875 ,32 ,100 ,137 ,137 ,100 
La Higuera ,20 ,19 ,950 ,19 ,950 ,84 ,76 ,905 
La Serena ,278 ,243 ,874 ,264 ,950 ,1.107 ,1.076 ,972 
Los Vilos ,27 ,17 ,630 ,26 ,963 ,54 ,54 ,100 
Monte Patria ,28 ,22 ,786 ,27 ,964 ,115 ,115 ,100 
Ovalle ,121 ,112 ,926 ,121 ,100 ,523 ,522 ,998 
Paiguano ,- ,- ,- ,,- ,- ,- ,- 
Punitaqui ,11 ,10 ,909 ,11 ,100 ,51 ,51 ,100 
Rio Hurtado ,6 ,6 ,100 ,6 ,100 ,30 ,30 ,100 
Salamanca ,6 ,6 ,100 ,6 ,100 ,32 ,29 ,906 
Vicuna ,10 ,10 ,100 ,10 ,100 ,48 ,44 ,917 
Total ,914 ,826 ,904 ,883 ,966 ,3682 ,3614 ,982 
