Comuna,Proporcioninvestigados,decasosantesde,nuevos48h,Proporcion,decontactosinvestigadosantesde,nuevos48h
,Casos Nuevos ,Investigados ,% ,Contactos Nuevos ,Investigados ,% 
Arica ,580 ,551 ,950 ,1.593 ,1.500 ,942 
Camarones ,6 ,6 ,100 ,6 ,6 ,100 
General Lagos ,1 ,1 ,100 ,11 ,11 ,100 
Putre ,12 ,12 ,100 ,50 ,50 ,100 
Total ,599 ,570 ,952 ,1.660 ,1.567 ,1.6467 
