Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Angol ,56058 ,554 ,988.3 ,19 ,33.9 ,19 ,33.9 
Carahue ,25486 ,140 ,549.3 ,20 ,78.5 ,20 ,78.5 
Cholcho ,12341 ,40 ,324.1 ,O ,0.0 ,O ,0.0 
Collipulli ,26148 ,175 ,669.3 ,46 ,175.9 ,46 ,175.9 
Cunco ,18055 ,122 ,675.7 ,27 ,149.5 ,27 ,149.5 
Curacautin ,18178 ,40 ,220.0 ,6 ,33.0 ,6 ,33.0 
Curarrehue ,7802 ,4 ,51.3 ,0 ,0.0 ,0 ,0.0 
Ercilla ,8458 ,88 ,1040.4 ,26 ,307.4 ,26 ,307.4 
Freire ,25446 ,126 ,495.2 ,1 ,3.9 ,1 ,3.9 
Galvarino ,12633 ,134 ,1060.7 ,0 ,0.0 ,O ,0.0 
Gorbea ,15148 ,45 ,297.1 ,0 ,0.0 ,0 ,0.0 
Lautaro ,& 40746 ,200 ,490.8 ,25 ,61.4 ,25 ,61.4 
Loncoche ,24739 ,83 ,335.5 ,O ,0.0 ,O ,0.0 
Lonquimay ,11049 ,71 ,642.6 ,0 ,0.0 ,0 ,0.0 
LOs Sauces ,7517 ,59 ,784.9 ,0 ,0.0 ,0 ,0.0 
Lumaco ,10050 ,44 ,437.8 ,2 ,19.9 ,2 ,19.9 
Melipeuco ,6265 ,14 ,223.5 ,1 ,16.0 ,1 ,16.0 
Nueva Imperial ,33777 ,157 ,464.8 ,15 ,44.4 ,15 ,44.4 
Padre Las Casas ,& 82110 ,251 ,305.7 ,15 ,18.3 ,15 ,18.3 
Perquenco ,7223 ,61 ,844.5 ,15 ,207.7 ,15 ,207.7 
Pitrufquen ,26096 ,108 ,413.9 ,2 ,7.7 ,2 ,7.7 
