Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Algarrobo ,& ,15174 ,110 ,724.9 ,7 ,46.1 ,0 ,0.0 ,O ,0.0 
Cabildo ,& ,20663 ,280 ,1355.1 ,18 ,87.1 ,11 ,53.2 ,11 ,53.2 
Calera ,& ,53591 ,734 ,1369.6 ,15 ,28.0 ,95 ,177.3 ,95 ,177.3 
Calle Larga ,& ,16482 ,238 ,1444.0 ,2 ,12.1 ,9 ,54.6 ,9 ,54.6 
Cartagena ,& ,25357 ,180 ,709.9 ,3 ,11.8 ,10 ,39.4 ,10 ,39.4 
Casablanca ,& ,29170 ,204 ,699.3 ,2 ,6.9 ,24 ,82.3 ,23 ,78.8 
Catemu ,,15213 ,128 ,841.4 ,3 ,19.7 ,21 ,138.0 ,21 ,138.0 
Con Con ,& ,45889 ,496 ,1080.9 ,8 ,17.4 ,22 ,47.9 ,22 ,47.9 
EI Quisco ,,17742 ,172 ,969.5 ,3 ,16.9 ,14 ,78.9 ,14 ,78.9 
EI Tabo ,& ,14338 ,220 ,1534.4 ,10 ,69.7 ,22 ,153.4 ,21 ,146.5 
Hijuelas ,& ,19099 ,189 ,989.6 ,3 ,15.7 ,21 ,110.0 ,21 ,110.0 
Isla de Pascua ,,8277 ,5 ,60.4 ,O ,0.0 ,0 ,0.0 ,O ,0.0 
Juan Fernandez ,,1033 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
La Cruz ,& ,25321 ,197 ,778.0 ,2 ,7.9 ,33 ,130.3 ,33 ,130.3 
La Ligua ,& ,37739 ,357 ,946.0 ,11 ,29.1 ,35 ,92.7 ,35 ,92.7 
Limache ,& ,49931 ,740 ,1482.0 ,17 ,34.0 ,40 ,80.1 ,40 ,80.1 
Llaillay ,,26533 ,330 ,1243.7 ,6 ,22.6 ,33 ,124.4 ,33 ,124.4 
LOs Andes ,& ,68093 ,984 ,1445.1 ,36 ,52.9 ,64 ,94.0 ,63 ,92.5 
Nogales ,& ,23490 ,188 ,800.3 ,2 ,8.5 ,41 ,174.5 ,41 ,174.5 
Olmue ,& ,19266 ,149 ,773.4 ,2 ,10.4 ,21 ,109.0 ,20 ,103.8 
Panquehue ,,7633 ,116 ,1519.7 ,0 ,0.0 ,18 ,235.8 ,18 ,235.8 
