Region,Totaldefunciones,Tasaobservada,Tasaajustada
Pais ,13426 ,69.0 ,43.2 
XV Arica y Parinacota ,91 ,36.1 ,24.8 
I Tarapaca ,205 ,53.6 ,46.6 
II Antofagasta ,486 ,70.2 ,645 
III Atacama ,42 ,13.3 ,9.1 
IV Coquimbo ,136 ,16.3 ,9.3 
V Valparaiso ,880 ,44.9 ,239 
Region Metropolitana ,10014 ,123.2 ,84.0 
VI O'Higgins ,392 ,396 ,231 
VII Maule ,342 ,30.2 ,17.3 
XVI De Nuble ,109 ,21.3 ,10.5 
VIII Del Biobio ,290 ,17.4 ,107 
IX Araucania ,193 ,19.0 ,10.1 
XIV Los Rios ,44 ,10.8 ,5.7 
Los Lagos ,132 ,148 ,9.0 
XI Aysen ,5 ,4.7 ,3.5 
XII Magallanes y la Antartica ,63 ,35.3 ,211 
Ignorada ,2 ,0.0 ,0.0 
