Comuna,SESESESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE
,9 10 11 12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 
Alto del Carmen ,O O O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,1 ,3 ,1 ,1 ,1 ,1 ,2 ,O 
Caldera ,O 0 0 O ,O ,O ,O ,O ,O ,2 ,2 ,1 ,1 ,3 ,2 ,7 ,5 ,14 ,7 ,6 ,3 
Chanaral ,O O 0 O ,O ,0 ,O ,O ,O ,O ,0 ,O ,1 ,O ,2 ,6 ,12 ,2 ,4 ,9 ,2 
Copiapo ,& 0 O 1 O ,2 ,1 ,4 ,O ,12 ,27 ,27 ,14 ,26 ,57 ,113 ,121 ,145 ,150 ,174 ,167 ,18 
Diego de Almagro ,1 O O O ,1 ,O ,O ,O ,O ,1 ,1 ,4 ,3 ,6 ,4 ,8 ,4 ,2 ,10 ,5 ,O 
Freirina ,O O O O ,0 ,O ,O ,1 ,O ,0 ,O ,O ,O ,O ,2 ,1 ,5 ,3 ,10 ,24 ,0 
Huasco ,O O 0 O ,O ,O ,O ,O ,O ,1 ,O ,O ,O ,2 ,6 ,3 ,4 ,6 ,3 ,O ,1 
Tierra Amarilla ,O O O O ,O ,2 ,3 ,O ,2 ,5 ,10 ,2 ,O ,1 ,10 ,15 ,11 ,5 ,15 ,19 ,6 
Vallenar ,& O O 0 O ,0 ,O ,1 ,8 ,12 ,10 ,13 ,2 ,6 ,15 ,28 ,54 ,66 ,53 ,73 ,54 ,0 
Desconocido ,& O O 0 O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,9 ,1 ,2 ,1 ,O 
Total ,1 0 1 0 ,3 ,3 ,8 ,9 ,26 ,46 ,53 ,23 ,37 ,85 ,170 ,216 ,262 ,237 ,299 ,287 ,30 
