Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Algarrobo ,& ,15174 ,112 ,738.1 ,7 ,46.1 ,0 ,0.0 ,O ,0.0 
Cabildo ,& ,20663 ,336 ,1626.1 ,18 ,87.1 ,10 ,48.4 ,10 ,48.4 
Calera ,& ,53591 ,955 ,1782.0 ,24 ,44.8 ,138 ,257.5 ,132 ,246.3 
Calle Larga ,& ,16482 ,273 ,1656.4 ,2 ,12.1 ,20 ,121.3 ,20 ,121.3 
Cartagena ,& ,25357 ,203 ,800.6 ,3 ,11.8 ,9 ,35.5 ,9 ,35.5 
Casablanca ,& ,29170 ,371 ,1271.9 ,4 ,13.7 ,81 ,277.7 ,81 ,277.7 
Catemu ,& ,15213 ,174 ,1143.8 ,4 ,26.3 ,29 ,190.6 ,29 ,190.6 
Con Con ,& ,45889 ,558 ,1216.0 ,8 ,17.4 ,31 ,67.6 ,31 ,67.6 
EI Quisco ,,17742 ,188 ,1059.6 ,3 ,16.9 ,13 ,73.3 ,13 ,73.3 
EI Tabo ,& ,14338 ,253 ,1764.5 ,12 ,83.7 ,14 ,97.6 ,14 ,97.6 
Hijuelas ,& ,19099 ,254 ,1329.9 ,5 ,26.2 ,32 ,167.5 ,32 ,167.5 
Isla de Pascua ,,8277 ,5 ,60.4 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Juan Fernandez ,,1033 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
La Cruz ,& ,25321 ,255 ,1007.1 ,3 ,11.8 ,23 ,90.8 ,23 ,90.8 
La Ligua ,& ,37739 ,543 ,1438.8 ,13 ,34.4 ,72 ,190.8 ,72 ,190.8 
Limache ,& ,49931 ,931 ,1864.6 ,21 ,42.1 ,119 ,238.3 ,119 ,238.3 
Llaillay ,& ,26533 ,383 ,1443.5 ,7 ,26.4 ,34 ,128.1 ,34 ,128.1 
LOs Andes ,& ,68093 ,1070 ,1571.4 ,46 ,67.6 ,40 ,58.7 ,40 ,58.7 
Nogales ,& ,23490 ,265 ,1128.1 ,3 ,12.8 ,46 ,195.8 ,46 ,195.8 
Olmue ,,19266 ,209 ,1084.8 ,4 ,20.8 ,33 ,171.3 ,33 ,171.3 
Panquehue ,,7633 ,119 ,1559.0 ,O ,0.0 ,2 ,26.2 ,2 ,26.2 
