Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alhue ,,7405 ,291 ,3929.8 ,36 ,486.2 ,36 ,486.2 
Buin ,& ,109641 ,2620 ,2389.6 ,89 ,81.2 ,89 ,81.2 
Calera de Tango ,& ,28525 ,616 ,2159.5 ,25 ,87.6 ,25 ,87.6 
Cerrillos ,& ,88956 ,3177 ,3571.4 ,39 ,43.8 ,39 ,43.8 
Cerro Navia ,& ,142465 ,6897 ,4841.2 ,122 ,85.6 ,122 ,85.6 
Colina ,& ,180353 ,4778 ,2649.2 ,106 ,58.8 ,105 ,58.2 
Conchali ,& ,139195 ,6454 ,4636.7 ,119 ,85.5 ,119 ,85.5 
Curacavi ,& ,36430 ,964 ,2646.2 ,37 ,101.6 ,36 ,98.8 
EI Bosque ,& ,172000 ,6699 ,3894.8 ,118 ,68.6 ,116 ,67.4 
EI Monte ,& ,40014 ,1261 ,3151.4 ,12 ,30.0 ,12 ,30.0 
Estacion Central ,& ,206792 ,6409 ,3099.2 ,95 ,45.9 ,95 ,45.9 
Huechuraba ,& ,112528 ,4022 ,3574.2 ,66 ,58.7 ,66 ,58.7 
Independencia ,& ,142065 ,6706 ,4720.4 ,116 ,81.7 ,115 ,80.9 
Isla de Maipo ,& ,40171 ,1182 ,2942.4 ,47 ,117.0 ,47 ,117.0 
La Cisterna ,& ,100434 ,3370 ,3355.4 ,71 ,70.7 ,71 ,70.7 
La Florida ,& ,402433 ,14079 ,3498.5 ,217 ,53.9 ,216 ,53.7 
La Granja ,& ,122557 ,7177 ,5856.1 ,60 ,49.0 ,60 ,49.0 
La Pintana ,& ,189335 ,10709 ,5656.1 ,202 ,106.7 ,202 ,106.7 
La Reina ,& ,100252 ,2360 ,2354.1 ,73 ,72.8 ,73 ,72.8 
Lampa ,& ,126898 ,3691 ,2908.6 ,76 ,59.9 ,76 ,59.9 
Las Condes ,& ,330759 ,6127 ,1852.4 ,133 ,40.2 ,132 ,39.9 
Lo Barnechea ,& ,124076 ,3506 ,2825.7 ,102 ,82.2 ,102 ,82.2 
Lo Espejo ,& ,103865 ,4450 ,4284.4 ,96 ,92.4 ,95 ,91.5 
