Puren,12188,3,24.6,1,8.2,1,8.2,OO0,O,2,O,O,O1O
Renaico & ,10833 ,4 ,36.9 ,O ,0.0 ,O ,0.0 ,O O O ,O ,1 ,1 ,1 ,1 0 O 
Saavedra ,12793 ,24 ,187.6 ,13 ,101.6 ,13 ,101.6 ,0 O O ,O ,0 ,1 ,5 ,8 9 1 
Temuco & ,302931 ,673 ,222.2 ,40 ,13.2 ,38 ,12.5 ,O 4 27 ,154 ,172 ,128 ,103 ,56 21 8 
Teodoro Schmidt ,15786 ,6 ,38.0 ,O ,0.0 ,O ,0.0 ,O O O ,2 ,2 ,O ,1 ,1 O O 
Tolten ,10055 ,6 ,59.7 ,O ,0.0 ,O ,0.0 ,O O O ,3 ,1 ,2 ,O ,O O 0 
Traiguen & ,19314 ,2 ,10.4 ,O ,0.0 ,O ,0.0 ,0 0 0 ,0 ,O ,1 ,O ,1 0 0 
Victoria ,35467 ,70 ,197.4 ,36 ,101.5 ,35 ,98.7 ,O O 0 ,2 ,7 ,3 ,3 ,28 19 8 
Vilcun & ,30766 ,44 ,143.0 ,4 ,13.0 ,4 ,13.0 ,O O O ,6 ,10 ,16 ,7 ,3 2 0 
Villarrica ,59103 ,20 ,33.8 ,1 ,1.7 ,1 ,1.7 ,O O O ,2 ,10 ,6 ,1 ,O 1 O 
Total ,1014343 ,1290 ,127.2 ,177 ,17.4 ,173 ,17.1 ,1 5 31 ,217 ,289 ,235 ,190 ,193 107 22 
