,SESESESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SESE
Isla de Maipo ,O 0 O 2 ,2 ,7 ,2 ,O ,4 ,13 ,25 ,37 ,72 ,89 ,103 ,80 ,78 ,78 ,70 ,111 ,121 ,75 ,69 ,54 ,8 0 
La Cisterna ,& O O 3 11 ,13 ,18 ,19 ,28 ,63 ,122 ,243 ,328 ,317 ,431 ,401 ,310 ,281 ,187 ,121 ,122 ,56 ,66 ,53 ,49 ,11 O 
La Florida ,& 1 2 12 31 ,59 ,65 ,81 ,106 ,209 ,592 ,1045 ,1554 ,1736 ,1630 ,1672 ,1199 ,1073 ,812 ,515 ,406 ,272 ,253 ,199 ,187 ,26 0 
La Granja ,& O O 1 6 ,15 ,36 ,22 ,21 ,77 ,275 ,617 ,915 ,1028 ,802 ,813 ,643 ,528 ,357 ,351 ,189 ,98 ,104 ,68 ,75 ,16 O 
La Pintana ,& 1 1 4 10 ,21 ,36 ,51 ,95 ,163 ,358 ,784 ,948 ,1297 ,1434 ,1411 ,991 ,747 ,557 ,352 ,242 ,221 ,195 ,199 ,186 ,24 0 
La Reina ,& 0 0 12 17 ,13 ,18 ,8 ,13 ,41 ,75 ,125 ,224 ,307 ,254 ,246 ,223 ,186 ,130 ,115 ,72 ,48 ,35 ,44 ,35 ,6 0 
Lampa ,& 0 0 0 9 ,14 ,16 ,13 ,19 ,54 ,139 ,295 ,354 ,403 ,384 ,437 ,368 ,245 ,192 ,161 ,151 ,111 ,64 ,65 ,85 ,8 0 
Las Condes ,& 1 18 60 129 ,69 ,43 ,38 ,34 ,75 ,247 ,506 ,709 ,764 ,686 ,585 ,501 ,374 ,290 ,219 ,141 ,129 ,104 ,84 ,72 ,29 O 
Lo Barnechea ,& 0 2 14 55 ,31 ,23 ,37 ,40 ,65 ,151 ,271 ,404 ,423 ,377 ,457 ,318 ,181 ,129 ,103 ,54 ,63 ,52 ,53 ,42 ,21 0 
Lo Espejo ,& O O 1 5 ,10 ,25 ,31 ,21 ,80 ,181 ,347 ,434 ,380 ,514 ,551 ,402 ,361 ,261 ,185 ,145 ,124 ,105 ,77 ,67 ,14 0 
Lo Prado ,& 0 0 3 6 ,21 ,17 ,23 ,32 ,105 ,196 ,354 ,504 ,512 ,630 ,533 ,495 ,406 ,251 ,200 ,206 ,159 ,70 ,104 ,95 ,22 0 
Macul ,& O 1 3 17 ,23 ,20 ,14 ,24 ,78 ,196 ,442 ,544 ,644 ,559 ,641 ,472 ,376 ,259 ,184 ,156 ,91 ,110 ,80 ,51 ,13 0 
Maipu ,& 0 1 13 52 ,73 ,83 ,98 ,117 ,157 ,434 ,914 ,1378 ,1600 ,1700 ,1826 ,1601 ,1268 ,971 ,692 ,539 ,367 ,319 ,283 ,254 ,34 0 
Maria Pinto ,& O 0 0 0 ,O ,O ,1 ,0 ,2 ,2 ,18 ,25 ,38 ,37 ,42 ,25 ,28 ,47 ,32 ,30 ,22 ,12 ,6 ,8 ,4 0 
