Negrete8,10429,106,1016.4,1,9.6,18,172.6,18,172.6,00O0,O2,00O0,712,1091221,1517,1
Penco& ,49865 ,304 ,609.6 ,1 ,2.0 ,87 ,174.5 ,87 ,174.5 ,0 0 O 1 ,4 3 ,3 8 0 3 ,2 2 ,10 14 43 74 ,50 56 ,31 
Quilaco ,4179 ,11 ,263.2 ,0 ,0.0 ,4 ,95.7 ,4 ,95.7 ,O 0 O 0 ,0 O ,0 0 0 O ,0 0 ,O 2 3 1 ,1 4 ,0 
Quilleco& ,10032 ,19 ,189.4 ,1 ,10.0 ,11 ,109.6 ,11 ,109.6 ,O 0 O 0 ,0 0 ,0 0 0 0 ,O O ,1 2 2 2 ,1 8 ,3 
San Pedro de la Paz& ,145906 ,625 ,428.4 ,9 ,6.2 ,112 ,76.8 ,112 ,76.8 ,0 0 6 35 ,17 23 ,8 11 4 2 ,14 14 ,38 64 65 98 ,114 68 ,44 
San Rosendo& ,3611 ,28 ,775.4 ,1 ,27.7 ,14 ,387.7 ,14 ,387.7 ,0 0 O 0 ,0 0 ,0 0 0 0 ,1 1 ,0 2 2 0 ,8 8 ,6 
Santa Barbara8 ,14592 ,96 ,657.9 ,0 ,0.0 ,17 ,116.5 ,17 ,116.5 ,0 0 O 0 ,2 0 ,0 0 0 0 ,4 9 ,7 19 7 8 ,23 11 ,6 
Santa Juana ,14779 ,67 ,453.3 ,3 ,20.3 ,8 ,54.1 ,8 ,54.1 ,0 0 0 0 ,0 1 ,0 0 1 0 ,0 O ,O 3 17 22 ,15 7 ,1 
Talcahuano ,158345 ,718 ,453.4 ,3 ,1.9 ,145 ,91.6 ,145 ,91.6 ,O 0 1 16 ,16 20 ,14 14 21 17 ,18 18 ,42 69 54 110 ,143 102 ,43 
Tirua ,11019 ,30 ,272.3 ,0 ,0.0 ,7 ,63.5 ,7 ,63.5 ,0 0 0 1 ,2 1 ,0 0 0 0 ,O O ,O 1 4 5 ,9 7 ,0 
Tome ,58729 ,318 ,541.5 ,1 ,1.7 ,37 ,63.0 ,37 ,63.0 ,O 0 O 9 ,13 13 ,7 9 1 4 ,16 6 ,8 15 53 63 ,64 31 ,6 
Tucapel8 ,15205 ,124 ,815.5 ,O ,0.0 ,41 ,269.6 ,41 ,269.6 ,0 0 O 0 ,0 1 ,0 0 0 0 ,1 4 ,6 11 21 13 ,26 34 ,7 
Yumbel ,22132 ,129 ,582.9 ,1 ,4.5 ,35 ,158.1 ,35 ,158.1 ,O 0 O 0 ,5 0 ,1 1 1 2 ,4 3 ,5 12 3 19 ,38 19 ,16 
Desconocido& ,- ,176 ,- ,0 ,- ,84 ,- ,84 ,- ,0 0 0 1 ,0 0 ,0 0 0 0 ,1 1 ,8 7 10 12 ,52 52 ,32 
Total ,1663696 ,8288 ,498.2 ,73 ,4.4 ,1945 ,116.9 ,1943 ,116.8 ,1 2 29 140 ,163 154 ,100 100 68 86 ,213 256 ,515 755 827 1257 ,1677 1384 ,561 
