,SESESESE,SESE,SESE,SE,SE,SESE,SE,SE,SE,SESE,SE,SE,SE,SESESE
Comuna ,9 10 11 12 ,13 14 ,15 16 ,17 ,18 ,19 20 ,21 ,22 ,23 ,24 25 ,26 ,27 ,28 ,29 30 31 
Angol ,& 0 1 1 3 ,10 11 ,15 35 ,27 ,11 ,11 7 ,24 ,19 ,57 ,59 42 ,29 ,38 ,28 ,21 2 O 
Carahue ,O O O O ,3 10 ,9 8 ,5 ,1 ,O 2 ,14 ,11 ,5 ,5 5 ,2 ,2 ,5 ,1 0 O 
Cholchol ,& O O O 1 ,2 O ,O 1 ,O ,O ,1 O ,1 ,12 ,5 ,1 O ,O ,6 ,4 ,2 O O 
Collipulli ,O O O O ,O 1 ,1 1 ,3 ,O ,2 9 ,9 ,6 ,8 ,9 6 ,10 ,3 ,O ,1 O O 
Cunco ,O O O O ,3 2 ,O 1 ,O ,O ,1 5 ,18 ,O ,11 ,8 3 ,5 ,4 ,12 ,6 3 O 
Curacautin ,& O O O 2 ,O 2 ,O O ,2 ,O ,2 O ,O ,2 ,4 ,9 O ,1 ,1 ,4 ,2 O O 
Curarrehue ,O O 1 1 ,2 O ,O O ,O ,O ,O O ,O ,O ,O ,O O ,O ,O ,O ,O O O 
Ercilla ,O O O O ,O 4 ,O 5 ,1 ,1 ,O O ,4 ,1 ,1 ,2 O ,O ,2 ,8 ,1 O O 
Freire ,O O O 2 ,4 O ,O 2 ,O ,1 ,12 11 ,28 ,16 ,18 ,6 9 ,2 ,1 ,4 ,1 2 O 
Galvarino ,O O O O ,O 2 ,O O ,O ,1 ,O O ,6 ,43 ,41 ,13 6 ,10 ,11 ,O ,O O O 
Gorbea ,O O 1 4 ,4 1 ,O 1 ,O ,1 ,3 O ,5 ,5 ,5 ,6 O ,O ,O ,2 ,O O O 
Lautaro ,1 O O 6 ,3 15 ,5 6 ,2 ,6 ,11 3 ,14 ,21 ,6 ,10 5 ,6 ,3 ,8 ,8 11 O 
Loncoche ,& O O O 2 ,3 2 ,4 3 ,3 ,3 ,3 2 ,7 ,19 ,1 ,6 4 ,17 ,3 ,O ,1 O O 
Lonquimay ,& O O O O ,O O ,O O ,2 ,13 ,12 27 ,12 ,2 ,O ,O 3 ,O ,O ,O ,O O O 
Los Sauces ,O O O O ,O O ,O 1 ,O ,O ,O O ,1 ,3 ,2 ,1 1 ,7 ,3 ,2 ,1 O O 
Lumaco ,O O O O ,O O ,O 4 ,2 ,1 ,O 1 ,3 ,2 ,9 ,8 6 ,2 ,2 ,2 ,O O O 
Melipeuco ,O O O O ,O O ,O O ,O ,O ,O O ,5 ,2 ,1 ,O O ,O ,1 ,2 ,O O O 
Nueva Imperial ,O O O 4 ,10 4 ,13 5 ,4 ,2 ,6 5 ,2 ,3 ,24 ,19 11 ,9 ,6 ,O ,3 O O 
Padre Las Casas ,& O O O 12 ,27 24 ,17 17 ,11 ,O ,5 24 ,16 ,13 ,4 ,7 2 ,3 ,16 ,4 ,11 2 O 
Perquenco ,O O O 1 ,1 O ,O 3 ,O ,O ,1 O ,O ,2 ,7 ,3 8 ,11 ,3 ,2 ,1 O O 
Pitrufquen ,O O O 4 ,9 4 ,O 1 ,O ,3 ,1 6 ,15 ,20 ,9 ,1 8 ,9 ,5 ,1 ,O 1 O 
Pucon ,& O O 1 3 ,O 4 ,3 1 ,3 ,O ,3 2 ,12 ,16 ,9 ,3 4 ,5 ,1 ,4 ,5 O O 
Puren ,O O O O ,2 O ,O 2 ,O ,2 ,1 O ,1 ,1 ,O ,6 5 ,6 ,3 ,4 ,5 O O 
Renaico ,O O O O ,O 1 ,3 3 ,O ,4 ,3 5 ,4 ,2 ,2 ,5 12 ,4 ,4 ,1 ,O O O 
Saavedra ,O O 1 1 ,O 1 ,5 8 ,17 ,13 ,18 11 ,9 ,4 ,5 ,3 O ,O ,2 ,1 ,O O O 
