Purranque,21080,85,403.2,O,0.0,2,9.5,2,9.5
Puyehue ,11787 ,16 ,135.7 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Queilen ,5543 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Quellon ,29309 ,6 ,20.5 ,O ,0.0 ,1 ,3.4 ,1 ,3.4 
Quemchi ,8783 ,14 ,159.4 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Quinchao ,8298 ,2 ,24.1 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Rio Negro ,14275 ,51 ,357.3 ,O ,0.0 ,4 ,28.0 ,4 ,28.0 
San Juan de la Costa ,7639 ,43 ,562.9 ,2 ,26.2 ,1 ,13.1 ,1 ,13.1 
San Pablo ,10553 ,15 ,142.1 ,1 ,9.5 ,1 ,9.5 ,1 ,9.5 
Desconocido & ,- ,65 ,- ,O ,- ,19 ,- ,19 ,- 
