Comuna,Poblacion,Confirmados,Tasadeincidencia
Arica ,247552 ,12 ,4.8 
Camarones ,1233 ,- ,0.0 
General Lagos ,810 ,- ,0.0 
Putre ,2515 ,- ,0.0 
Total ,252110 ,12 ,4.8 
