Comuna,SESESESESE,SESE,SESE,SESESE,SESE,SESE,SESESE,SESE,SESESE,SE,SESE
,9 10 11 12 13 ,14 15 ,16 17 ,18 19 20 ,21 22 ,23 24 ,25 26 27 ,28 29 ,30 31 32 ,33 ,34 35 
Corral ,O O O O O ,O O ,1 O ,O 6 4 ,2 2 ,5 2 ,1 1 2 ,O O ,O O O ,O ,O O 
Futrono ,O O O 1 3 ,1 O ,O O ,O 1 5 ,19 8 ,15 5 ,1 1 1 ,O O ,O O O ,1 ,O O 
La Union & ,O O 1 5 8 ,4 6 ,9 4 ,2 1 2 ,2 6 ,9 9 ,8 6 4 ,4 8 ,2 4 1 ,O ,O O 
Lago Ranco ,O O O 1 1 ,O O ,O O ,O O O ,O O ,0 O ,1 4 O ,O O ,O O 1 ,O ,O O 
Lanco ,O O O O 1 ,2 1 ,2 O ,3 2 O ,O 1 ,3 10 ,3 1 O ,1 O ,O 2 O ,4 ,2 O 
Los Lagos ,O O O O O ,O O ,O O ,O O 1 ,13 10 ,13 22 ,3 O 1 ,O O ,O O O ,O ,O O 
Mafil & ,O O O 1 O ,O O ,1 O ,O O 1 ,2 O ,2 12 ,1 O O ,O 1 ,8 O 3 ,2 ,O O 
Mariquina ,O O O 3 1 ,4 1 ,O O ,O 2 1 ,3 1 ,O 3 ,O 1 O ,7 8 ,2 1 O ,1 ,1 O 
Paillaco ,O O O 1 O ,O O ,O O ,O O 8 ,13 3 ,O 2 ,3 O 2 ,1 O ,4 1 O ,1 ,O O 
Panguipulli & ,O O O O O ,O O ,O O ,1 O 4 ,4 8 ,16 7 ,8 6 1 ,6 1 ,1 1 4 ,O ,O O 
Rio Bueno & ,O O O 3 1 ,3 2 ,1 2 ,1 O O ,3 1 ,1 1 ,3 3 3 ,2 2 ,3 9 12 ,4 ,2 O 
Valdivia & ,O 1 1 25 32 ,25 19 ,8 8 ,4 4 10 ,30 24 ,15 25 ,38 34 29 ,37 44 ,25 33 28 ,24 ,2 O 
Desconocido & ,O O 1 O O ,O 1 ,1 O ,O O O ,O 1 ,O 1 ,1 O O ,O O ,O O 1 ,O ,O O 
Total ,0 1 3 40 47 ,39 30 ,23 14 ,11 16 36 ,91 65 ,79 99 ,71 57 43 ,58 64 ,45 51 50 ,37 ,7 0 
