Grupoedad,Hombre,Mujer
00 04 anos ,2673 ,2393 
05 09 anos ,2072 ,1953 
10 14 anos ,2367 ,2453 
15 19 anos ,4235 ,4834 
20 24 anos ,11824 ,11638 
25 29 anos ,19034 ,18388 
30 34 anos ,19378 ,17197 
35 39 anos ,16139 ,13770 
40 44 anos ,13351 ,11528 
45 49 anos ,12923 ,12108 
50 54 anos ,12376 ,11391 
55 59 anos ,11605 ,10279 
60 64 anos ,8618 ,7149 
65 69 anos ,5367 ,4704 
70 74 anos ,3764 ,3558 
75 79 anos ,2582 ,2690 
80 y mas anos ,3028 ,4819 
