Olmue,19266,15,77.9,7,36.3,7,36.3,0O0,00,2,O0,OO2,56,0
Panquehue ,7633 ,8 ,104.8 ,4 ,52.4 ,4 ,52.4 ,0 O 0 ,O O ,O ,O 0 ,O O 3 ,2 3 ,O 
Papudo ,6201 ,7 ,112.9 ,3 ,48.4 ,3 ,48.4 ,O O O ,O O ,O ,O O ,O O O ,5 2 ,O 
Petorca ,10558 ,14 ,132.6 ,4 ,37.9 ,4 ,37.9 ,O O O ,1 4 ,1 ,O O ,O O 1 ,4 3 ,O 
Puchuncavi ,20071 ,7 ,34.9 ,1 ,5.0 ,1 ,5.0 ,0 0 O ,0 O ,0 ,O 0 ,0 0 2 ,4 0 ,1 
Putaendo ,17645 ,24 ,136.0 ,2 ,11.3 ,2 ,11.3 ,0 0 0 ,1 0 ,O ,1 3 ,2 2 6 ,7 2 ,O 
Quillota& ,97572 ,66 ,67.6 ,7 ,7.2 ,7 ,7.2 ,O 1 O ,4 7 ,3 ,6 1 ,5 3 16 ,15 5 ,O 
Quilpue ,167085 ,188 ,112.5 ,37 ,22.1 ,37 ,22.1 ,O 1 3 ,3 9 ,6 ,4 5 ,12 17 43 ,58 20 ,7 
Quintero& ,36135 ,56 ,155.0 ,12 ,33.2 ,11 ,30.4 ,0 O O ,3 1 ,O ,O 6 ,2 3 21 ,15 5 ,O 
Rinconada ,11263 ,26 ,230.8 ,15 ,133.2 ,15 ,133.2 ,O O O ,O O ,3 ,O 0 ,O O 2 ,13 8 ,O 
San Antonio& ,96761 ,359 ,371.0 ,83 ,85.8 ,82 ,84.7 ,O O 0 ,5 ,14 ,10 22 ,38 67 61 ,84 54 ,4 
San Esteban ,20643 ,18 ,87.2 ,4 ,19.4 ,4 ,19.4 ,0 O O ,0 O ,O ,O 1 ,2 2 6 ,3 4 ,O 
San Felipe ,83494 ,112 ,134.1 ,53 ,63.5 ,52 ,62.3 ,O O 0 ,3 2 ,2 ,O O ,2 4 15 ,55 28 ,1 
Santa Maria ,16367 ,30 ,183.3 ,6 ,36.7 ,6 ,36.7 ,O O O ,O 2 ,O ,O 1 ,5 11 2 ,5 4 ,O 
Santo Domingo ,11934 ,38 ,318.4 ,0 ,0.0 ,0 ,0.0 ,0 O 2 ,2 0 ,6 ,4 4 ,4 4 3 ,9 O ,O 
Valparaiso& ,315732 ,482 ,152.7 ,114 ,36.1 ,114 ,36.1 ,O 1 2 ,10 16 ,12 ,18 14 ,28 82 107 ,113 75 ,4 
Villa Alemana& ,139310 ,147 ,105.5 ,30 ,21.5 ,30 ,21.5 ,O O 1 ,7 3 ,3 ,O 1 ,6 27 35 ,47 16 ,1 
Vina del Mar& ,361371 ,589 ,163.0 ,136 ,37.6 ,136 ,37.6 ,0 O 6 ,21 27 ,21 ,12 19 ,21 70 136 ,161 84 ,11 
Zapallar ,7994 ,3 ,37.5 ,0 ,0.0 ,0 ,0.0 ,0 O 0 ,O 0 ,0 ,0 0 ,0 0 0 ,3 0 ,0 
,,,,,,,,,,,,,,
