Grupoedad,Hombre,Mujer
00 04 anos ,1535 ,1380 
05 09 anos ,1104 ,1050 
10 14 anos ,1315 ,1284 
15 19 anos ,2237 ,2480 
20 24 anos ,6381 ,6131 
25 29 anos ,10740 ,10131 
30 34 anos ,11057 ,9643 
35 39 anos ,9147 ,7682 
40 44 anos ,7586 ,6309 
45 49 anos ,7305 ,6567 
50 54 anos ,6926 ,6028 
55 59 anos ,6342 ,5460 
60 64 anos ,4786 ,3799 
65 69 anos ,2924 ,2502 
70 74 anos ,2086 ,1908 
75 79 anos ,1418 ,1415 
80 y mas anos ,1659 ,2523 
