Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Angol ,56058 ,580 ,1034.6 ,27 ,48.2 ,27 ,48.2 
Carahue ,& 25486 ,149 ,584.6 ,18 ,70.6 ,18 ,70.6 
Cholchol ,12341 ,42 ,340.3 ,1 ,8.1 ,1 ,8.1 
Collipulli ,& 26148 ,224 ,856.7 ,43 ,164.4 ,43 ,164.4 
Cunco ,18055 ,126 ,697.9 ,12 ,66.5 ,12 ,66.5 
Curacautin ,18178 ,43 ,236.5 ,3 ,16.5 ,3 ,16.5 
Curarrehue ,7802 ,5 ,64.1 ,1 ,12.8 ,1 ,12.8 
Ercilla ,8458 ,91 ,1075.9 ,14 ,165.5 ,14 ,165.5 
Freire ,25446 ,129 ,507.0 ,4 ,15.7 ,4 ,15.7 
Galvarino ,12633 ,134 ,1060.7 ,O ,0.0 ,O ,0.0 
Gorbea ,15148 ,46 ,303.7 ,1 ,6.6 ,1 ,6.6 
Lautaro ,40746 ,216 ,530.1 ,31 ,76.1 ,31 ,76.1 
Loncoche ,& 24739 ,82 ,331.5 ,O ,0.0 ,O ,0.0 
Lonquimay ,11049 ,72 ,651.6 ,1 ,9.1 ,1 ,9.1 
Los Sauces ,& 7517 ,60 ,798.2 ,1 ,13.3 ,1 ,13.3 
Lumaco ,10050 ,44 ,437.8 ,O ,0.0 ,O ,0.0 
Melipeuco ,6265 ,19 ,303.3 ,5 ,79.8 ,5 ,79.8 
Nueva Imperial ,33777 ,159 ,470.7 ,9 ,26.6 ,9 ,26.6 
Padre Las Casas ,& 82110 ,261 ,317.9 ,8 ,9.7 ,8 ,9.7 
Perquenco ,7223 ,73 ,1010.7 ,14 ,193.8 ,14 ,193.8 
Pitrufquen ,26096 ,115 ,440.7 ,10 ,38.3 ,10 ,38.3 
