Comuna,SESESE,SE,SE,SE,SE,SESESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE
,9 10 11 ,12 ,13 ,14 ,15 ,16 17 18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 
,& 0 2 1 ,2 ,23 ,70 ,68 ,53 69 51 ,45 ,89 ,147 ,194 ,279 ,273 ,295 ,351 ,443 ,682 ,782 ,719 ,236 ,0 
Camarones ,O 0 O ,0 ,0 ,O ,0 ,0 0 0 ,O ,O ,O ,O ,0 ,0 ,O ,O ,1 ,12 ,2 ,2 ,4 ,O 
Genera Lagos ,O 0 0 ,O ,O ,O ,O ,0 O O ,O ,O ,O ,O ,0 ,O ,O ,O ,O ,0 ,1 ,O ,O ,O 
Putre ,O O O ,O ,O ,O ,O ,O 0 O ,O ,O ,O ,O ,1 ,9 ,O ,1 ,7 ,12 ,9 ,O ,1 ,O 
Desconocido ,& O O O ,O ,O ,O ,1 ,0 O O ,O ,O ,O ,O ,O ,O ,0 ,O ,O ,O ,2 ,3 ,5 ,O 
Total ,0 2 1 ,2 ,23 ,70 ,69 ,53 69 51 ,45 ,89 ,147 ,194 ,280 ,282 ,295 ,352 ,451 ,706 ,796 ,724 ,246 ,0 
