Comuna,Busquedasactivas(%),CoberturadeTesteo(%),Oportunidadnotificacion(%)
Andacollo ,500 ,932 ,986 
Canela ,735 ,939 ,957 
Combarbala ,667 ,980 ,980 
Coquimbo ,348 ,939 ,939 
Illapel ,306 ,873 ,940 
La Higuera ,382 ,989 ,1000 
La Serena ,452 ,946 ,875 
Los Vilos ,197 ,740 ,926 
Monte Patria ,657 ,839 ,944 
Ovalle ,682 ,772 ,939 
Paiguano ,571 ,952 ,900 
Punitaqui ,613 ,920 ,971 
Rio Hurtado ,286 ,929 ,1000 
Salamanca ,420 ,874 ,894 
Vicuna ,256 ,953 ,963 
,,,
