LoBarnechea,&,124076,3674,2961.1,32,25.8,32,25.8
Lo Espejo ,& ,103865 ,4710 ,4534.7 ,57 ,54.9 ,56 ,53.9 
Lo Prado ,& ,104403 ,5447 ,5217.3 ,45 ,43.1 ,45 ,43.1 
Macul ,& ,134635 ,5398 ,4009.4 ,63 ,46.8 ,63 ,46.8 
Maipu ,& ,578605 ,16377 ,2830.4 ,308 ,53.2 ,306 ,52.9 
Maria Pinto ,,14926 ,424 ,2840.7 ,7 ,46.9 ,7 ,46.9 
Melipilla ,& ,141612 ,4469 ,3155.8 ,95 ,67.1 ,95 ,67.1 
Nunoa ,& ,250192 ,6079 ,2429.7 ,84 ,33.6 ,84 ,33.6 
Padre Hurtado ,& ,74188 ,2352 ,3170.3 ,28 ,37.7 ,28 ,37.7 
Paine ,& ,82766 ,2371 ,2864.7 ,106 ,128.1 ,106 ,128.1 
Pedro Aguirre Cerda ,& ,107803 ,4658 ,4320.8 ,30 ,27.8 ,30 ,27.8 
Penaflor ,& ,101058 ,3218 ,3184.3 ,49 ,48.5 ,48 ,47.5 
Penalolen ,& ,266798 ,12495 ,4683.3 ,110 ,41.2 ,110 ,41.2 
Pirque ,& ,30433 ,1203 ,3952.9 ,7 ,23.0 ,7 ,23.0 
Providencia ,& ,157749 ,3521 ,2232.0 ,53 ,33.6 ,53 ,33.6 
Pudahuel ,& ,253139 ,10802 ,4267.2 ,104 ,41.1 ,104 ,41.1 
Puente Alto ,& ,645909 ,25779 ,3991.1 ,374 ,57.9 ,371 ,57.4 
Quilicura ,& ,254694 ,9818 ,3854.8 ,79 ,31.0 ,79 ,31.0 
Quinta Normal ,& ,136368 ,6627 ,4859.6 ,65 ,47.7 ,65 ,47.7 
Recoleta ,& ,190075 ,9081 ,4777.6 ,72 ,37.9 ,72 ,37.9 
Renca ,& ,160847 ,9896 ,6152.4 ,267 ,166.0 ,267 ,166.0 
San Bernardo ,& ,334836 ,12131 ,3623.0 ,128 ,38.2 ,128 ,38.2 
San Joaquin ,& ,103485 ,5419 ,5236.5 ,53 ,51.2 ,53 ,51.2 
San Jose de Maipo ,,18644 ,734 ,3936.9 ,15 ,80.5 ,14 ,75.1 
San Miguel ,& ,133059 ,5713 ,4293.6 ,62 ,46.6 ,62 ,46.6 
San Pedro ,& ,11953 ,260 ,2175.2 ,3 ,25.1 ,3 ,25.1 
San Ramon ,& ,86510 ,4785 ,5531.2 ,55 ,63.6 ,55 ,63.6 
Santiago ,& ,503147 ,16006 ,3181.2 ,168 ,33.4 ,168 ,33.4 
