Romeral8,16170,141,872.0,0,0.0,56,346.3,56,346.3,000120010O008,131924,32311
Sagrada Familia& ,19469 ,44 ,226.0 ,0 ,0.0 ,9 ,46.2 ,9 ,46.2 ,0 0 O 0 O 1 0 1 0 1 1 O ,4 6 18 ,10 2 0 
San Clemente& ,46292 ,194 ,419.1 ,2 ,4.3 ,64 ,138.3 ,64 ,138.3 ,0 1 0 0 O 1 2 7 1 8 6 14 ,18 21 37 ,44 34 0 
San Javier& ,49451 ,183 ,370.1 ,0 ,0.0 ,47 ,95.0 ,47 ,95.0 ,0 O 0 1 2 7 4 7 4 3 7 8 ,9 22 50 ,42 17 O 
San Rafael ,9959 ,82 ,823.4 ,0 ,0.0 ,9 ,90.4 ,9 ,90.4 ,0 0 0 0 1 0 1 1 0 0 5 10 ,28 7 18 ,8 3 0 
Talca& ,236724 ,939 ,396.7 ,4 ,1.7 ,300 ,126.7 ,299 ,126.3 ,0 4 9 13 19 11 17 74 17 13 21 53 ,73 87 163 ,210 153 2 
Teno& ,30850 ,81 ,262.6 ,1 ,3.2 ,40 ,129.7 ,40 ,129.7 ,0 0 O O O 0 1 1 1 3 3 3 ,4 8 10 ,33 14 0 
Vichuquen ,4381 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 O O O 0 O 0 0 0 0 0 ,0 O 0 ,0 0 0 
Villa Alegre& ,17512 ,47 ,268.4 ,0 ,0.0 ,7 ,40.0 ,7 ,40.0 ,0 0 0 0 O 0 1 1 0 0 1 2 ,1 9 21 ,9 2 0 
Yerbas Buenas& ,19200 ,92 ,479.2 ,2 ,10.4 ,17 ,88.5 ,17 ,88.5 ,0 0 O O O 0 1 0 2 1 4 9 ,13 26 15 ,16 5 0 
Desconocido& ,- ,31 ,- ,0 ,- ,16 ,- ,16 ,- ,0 0 0 0 0 0 0 0 0 0 0 1 ,0 4 7 ,7 12 0 
Total ,1131939 ,4874 ,430.6 ,29 ,2.6 ,1459 ,128.9 ,1458 ,128.8 ,2 6 11 27 51 48 67 169 47 54 123 250 ,498 740 982 ,1114 682 3 
