ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos,NumerodeCasosRecuperados
Region de Arica y Parinacota ,252110 ,1899 ,753.2 ,407 ,161.4 ,1470 
Region de Tarapaca ,382773 ,6238 ,1629.7 ,793 ,207.2 ,5343 
Region de Antofagasta ,691854 ,9388 ,1356.9 ,1872 ,270.6 ,7351 
Region de Atacama ,314709 ,1171 ,372.1 ,382 ,121.4 ,787 
Region de Coquimbo ,836096 ,3554 ,425.1 ,801 ,95.8 ,2725 
Region de Valparaiso ,1960170 ,15184 ,774.6 ,3036 ,154.9 ,11876 
Region Metropolitana de Santiago ,8125072 ,244042 ,3003.6 ,23683 ,291.5 ,214748 
Region del Libertador General Bernardo OHiggins ,991063 ,7423 ,749.0 ,2609 ,263.3 ,4733 
Region de Maule ,1131939 ,6146 ,543.0 ,1481 ,130.8 ,4609 
Region del Nuble ,511551 ,2863 ,559.7 ,479 ,93.6 ,2345 
Region del Biobio ,1663696 ,7607 ,457.2 ,2184 ,131.3 ,5361 
Region de la Araucania ,1014343 ,3366 ,331.8 ,302 ,29.8 ,3005 
Region de Los Rios ,405835 ,757 ,186.5 ,110 ,27.1 ,637 
Region de Los Lagos ,891440 ,1759 ,197.3 ,355 ,39.8 ,1381 
Region de Aysen del General Carlos Ibanez del Campo ,107297 ,40 ,37.3 ,15 ,14.0 ,25 
Region de Magallanes y la Antartica Chilena ,178362 ,1474 ,826.4 ,136 ,76.2 ,1316 
Desconocido ,- ,112 ,- ,4 ,- ,107 
Total pais ,19458310 ,313023 ,1608.7 ,38649 ,198.6 ,267819 
