PadreLasCasas,82110,165,200.9,14,17.1,14,17.1,00012,28,24,16,1511,O5,24,16,1310
Perquenco ,7223 ,11 ,152.3 ,5 ,69.2 ,5 ,69.2 ,O 0 O 1 ,1 ,O ,O ,3 0 ,O 1 ,0 ,O ,2 3 O 
Pitrufquen ,26096 ,63 ,241.4 ,19 ,72.8 ,19 ,72.8 ,O O 0 4 ,9 ,4 ,O ,1 O ,O O ,6 ,15 ,19 5 O 
Pucon ,29782 ,52 ,174.6 ,20 ,67.2 ,20 ,67.2 ,O O 1 3 ,O ,4 ,3 ,1 3 ,O 3 ,2 ,12 ,16 4 O 
Puren ,12188 ,9 ,73.8 ,0 ,0.0 ,0 ,0.0 ,O O O 0 ,2 ,O ,0 ,2 0 ,2 1 ,0 ,1 ,1 O 0 
Renaico ,10833 ,26 ,240.0 ,3 ,27.7 ,3 ,27.7 ,O 0 0 0 ,0 ,1 ,3 ,2 1 ,4 3 ,5 ,4 ,2 1 O 
Saavedra ,12793 ,91 ,711.3 ,8 ,62.5 ,8 ,62.5 ,O O 1 1 ,O ,1 ,5 ,8 17 ,13 18 ,10 ,9 ,4 4 O 
Temuco ,302931 ,849 ,280.3 ,22 ,7.3 ,22 ,7.3 ,O 4 26 155 ,173 ,128 ,110 ,57 25 ,27 49 ,44 ,27 ,15 9 O 
Teodoro Schmidt ,15786 ,10 ,63.3 ,O ,0.0 ,O ,0.0 ,O 0 O 1 ,2 ,O ,1 ,1 0 ,O O ,1 ,3 ,1 O O 
Tolten ,10055 ,16 ,159.1 ,1 ,9.9 ,1 ,9.9 ,O 0 0 4 ,2 ,2 ,O ,0 O ,O O ,2 ,5 ,1 O O 
Traiguen ,19314 ,19 ,98.4 ,8 ,41.4 ,8 ,41.4 ,O O O O ,O ,1 ,O ,1 O ,O 1 ,4 ,4 ,4 4 O 
Victoria ,35467 ,120 ,338.3 ,17 ,47.9 ,17 ,47.9 ,O 0 1 2 ,9 ,2 ,2 ,30 20 ,11 2 ,4 ,16 ,11 10 O 
Vilcun ,30766 ,96 ,312.0 ,10 ,32.5 ,10 ,32.5 ,O 0 O 6 ,11 ,15 ,8 ,3 5 ,4 5 ,7 ,21 ,8 3 O 
Villarrica ,59103 ,35 ,59.2 ,8 ,13.5 ,8 ,13.5 ,O 0 O 2 ,10 ,6 ,1 ,0 1 ,O 1 ,2 ,4 ,7 1 O 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
