Comuna,Busquedasactivas(%),CoberturadeTesteo(%),Oportunidadnotificacion(%)
Algarrobo ,377 ,906 ,854 
Cabildo ,784 ,946 ,800 
Calera ,310 ,831 ,768 
Calle Larga ,662 ,970 ,910 
Cartagena ,527 ,973 ,881 
Casablanca ,646 ,969 ,623 
Catemu ,608 ,778 ,985 
Con Con ,306 ,919 ,923 
El Quisco ,254 ,1000 ,871 
El Tabo ,496 ,959 ,909 
Hijuelas ,108 ,919 ,929 
Isla de Pascua ,00 ,1000 ,00 
Juan Fernandez ,- ,- ,- 
La Cruz ,349 ,814 ,800 
La Ligua ,160 ,950 ,887 
Limache ,401 ,914 ,793 
Llaillay ,530 ,875 ,959 
Los Andes ,711 ,944 ,899 
Nogales ,785 ,668 ,497 
Olmue ,156 ,953 ,918 
Panquehue ,800 ,964 ,896 
Papudo ,294 ,1000 ,941 
Petorca ,267 ,933 ,862 
Puchuncavi ,426 ,956 ,574 
Putaendo ,566 ,956 ,947 
Quillota ,596 ,906 ,767 
Quilpue ,399 ,903 ,667 
Quintero ,497 ,962 ,821 
Rinconada ,732 ,982 ,988 
San Antonio ,476 ,982 ,839 
San Esteban ,695 ,986 ,921 
San Felipe ,591 ,943 ,796 
Santa Maria ,472 ,993 ,972 
Santo Domingo ,699 ,988 ,927 
Valparaiso ,430 ,970 ,814 
Villa Alemana ,609 ,933 ,692 
Vina del Mar ,376 ,932 ,782 
Zapallar ,125 ,969 ,903 
Total ,510 ,930 ,806 
